ortho	phon	lemme	cgram	genre	nombre	
a	a	a	NOM	m		
a priori	apRijoRi	a priori	NOM	m		
à-côté	akote	à-côté	NOM	m	s	
à-côtés	akote	à-côté	NOM	m	p	
à-coup	aku	à-coup	NOM	m	s	
à-coups	aku	à-coup	NOM	m	p	
à-peu-près	ap2pRE	à-peu-près	NOM	m		
à-pic	apik	à-pic	NOM	m		
à-pics	apik	à-pic	NOM	m	p	
à-plat	apla	à-plat	NOM	m	s	
à-plats	apla	à-plat	NOM	m	p	
à-propos	apRopo	à-propos	NOM	m		
à-valoir	avalwaR	à-valoir	NOM	m		
aa	aa	aa	NOM	m	s	
abaca	abaka	abaca	NOM	m	s	
abaisse	abEs	abaisse	NOM	f	s	
abaisse-langue	abEsl@g	abaisse-langue	NOM	m		
abaissement	abEs°m@	abaissement	NOM	m	s	
abalone	abalOn	abalone	NOM	m	s	
abalones	abalOn	abalone	NOM	m	p	
abandon	ab@d§	abandon	NOM	m	s	
abandonneurs	ab@don9R	abandonneur	NOM	m	p	
abandons	ab@d§	abandon	NOM	m	p	
abaque	abak	abaque	NOM	m	s	
abat	aba	abat	NOM	m	s	
abat-jour	abaZuR	abat-jour	NOM	m		
abat-son	abas§	abat-son	NOM	m		
abatage	abataZ	abatage	NOM	m	s	
abatis	abati	abatis	NOM	m		
abats	aba	abat	NOM	m	p	
abattage	abataZ	abattage	NOM	m	s	
abattages	abataZ	abattage	NOM	m	p	
abattant	abat@	abattant	NOM	m	s	
abattants	abat@	abattant	NOM	m	p	
abattement	abat°m@	abattement	NOM	m	s	
abattements	abat°m@	abattement	NOM	m	p	
abatteur	abat9R	abatteur	NOM	m	s	
abatteurs	abat9R	abatteur	NOM	m	p	
abattis	abati	abattis	NOM	m		
abattoir	abatwaR	abattoir	NOM	m	s	
abattoirs	abatwaR	abattoir	NOM	m	p	
abattu	abaty	abattu	NOM	m	s	
abattures	abatyR	abatture	NOM	f	p	
abattus	abaty	abattu	NOM	m	p	
abbatiale	abasjal	abbatiale	NOM	f	s	
abbaye	abei	abbaye	NOM	f	s	
abbayes	abei	abbaye	NOM	f	p	
abbé	abe	abbé	NOM	m	s	
abbés	abe	abbé	NOM	m	p	
abbesse	abEs	abbé	NOM	f	s	
abbesses	abEs	abbé	NOM	f	p	
abc	abese	abc	NOM	m		
abcès	apsE	abcès	NOM	m		
abdication	abdikasj§	abdication	NOM	f	s	
abdications	abdikasj§	abdication	NOM	f	p	
abdomen	abdomEn	abdomen	NOM	m	s	
abdominaux	abdomino	abdominal	NOM	m	p	
abdos	abdo	abdos	NOM	m	p	
abduction	abdyksj§	abduction	NOM	f	s	
abécédaire	abesedER	abécédaire	NOM	m	s	
abeille	abEj	abeille	NOM	f	s	
abeilles	abEj	abeille	NOM	f	p	
aber	abe	aber	NOM	m	s	
aberration	abERasj§	aberration	NOM	f	s	
aberrations	abERasj§	aberration	NOM	f	p	
abêtissement	abetis°m@	abêtissement	NOM	m	s	
abîme	abim	abîme	NOM	m	s	
abîmes	abim	abîme	NOM	m	p	
abjection	abZEksj§	abjection	NOM	f	s	
abjections	abZEksj§	abjection	NOM	f	p	
abjuration	abZyRasj§	abjuration	NOM	f	s	
abjurations	abZyRasj§	abjuration	NOM	f	p	
ablatif	ablatif	ablatif	NOM	m	s	
ablation	ablasj§	ablation	NOM	f	s	
ablations	ablasj§	ablation	NOM	f	p	
able	abl	able	NOM	m	s	
ablette	ablEt	ablette	NOM	f	s	
ablettes	ablEt	ablette	NOM	f	p	
ablution	ablysj§	ablution	NOM	f	s	
ablutions	ablysj§	ablution	NOM	f	p	
abnégation	abnegasj§	abnégation	NOM	f	s	
aboi	abwa	aboi	NOM	m	s	
aboiement	abwam@	aboiement	NOM	m	s	
aboiements	abwam@	aboiement	NOM	m	p	
abois	abwa	aboi	NOM	m	p	
abolition	abolisj§	abolition	NOM	f	s	
abolitionniste	abolisjonist	abolitionniste	NOM		s	
abolitionnistes	abolisjonist	abolitionniste	NOM		p	
abomination	abominasj§	abomination	NOM	f	s	
abominations	abominasj§	abomination	NOM	f	p	
abondance	ab§d@s	abondance	NOM	f	s	
abonné	abone	abonné	NOM	m	s	
abonnée	abone	abonné	NOM	f	s	
abonnées	abone	abonné	NOM	f	p	
abonnement	abOn°m@	abonnement	NOM	m	s	
abonnements	abOn°m@	abonnement	NOM	m	p	
abonnés	abone	abonné	NOM	m	p	
abord	abOR	abord	NOM	m	s	
abordage	abORdaZ	abordage	NOM	m	s	
abordages	abORdaZ	abordage	NOM	m	p	
abords	abOR	abord	NOM	m	p	
aborigène	aboRiZEn	aborigène	NOM		s	
aborigènes	aboRiZEn	aborigène	NOM		p	
abornement	abORn°m@	abornement	NOM	m	s	
abouchements	abuS°m@	abouchement	NOM	m	p	
aboulie	abuli	aboulie	NOM	f	s	
aboulique	abulik	aboulique	NOM		s	
abounas	abuna	abouna	NOM	m	p	
about	abu	about	NOM	m	s	
aboutissant	abutis@	aboutissant	NOM	m	s	
aboutissants	abutis@	aboutissant	NOM	m	p	
aboutissement	abutis°m@	aboutissement	NOM	m	s	
aboyeur	abwaj9R	aboyeur	NOM	m	s	
aboyeurs	abwaj9R	aboyeur	NOM	m	p	
abracadabra	abRakadabRa	abracadabra	NOM	m	s	
abrasif	abRazif	abrasif	NOM	m	s	
abrasifs	abRazif	abrasif	NOM	m	p	
abrasion	abRazj§	abrasion	NOM	f	s	
abraxas	abRaksas	abraxas	NOM	m		
abrégé	abReZe	abrégé	NOM	m	s	
abrégés	abReZe	abrégé	NOM	m	p	
abreuvage	abR9vaZ	abreuvage	NOM	m	s	
abreuvoir	abR9vwaR	abreuvoir	NOM	m	s	
abreuvoirs	abR9vwaR	abreuvoir	NOM	m	p	
abréviation	abRevjasj§	abréviation	NOM	f	s	
abréviations	abRevjasj§	abréviation	NOM	f	p	
abri	abRi	abri	NOM	m	s	
abri-refuge	abRiR°fyZ	abri-refuge	NOM	m	s	
abribus	abRibys	abribus	NOM	m		
abricot	abRiko	abricot	NOM	m	s	
abricotier	abRikotje	abricotier	NOM	m	s	
abricotiers	abRikotje	abricotier	NOM	m	p	
abricotine	abRikotin	abricotine	NOM	f	s	
abricots	abRiko	abricot	NOM	m	p	
abris	abRi	abri	NOM	m	p	
abrogation	abRogasj§	abrogation	NOM	f	s	
abrupt	abRypt	abrupt	NOM	m	s	
abrupts	abRypt	abrupt	NOM	m	p	
abruti	abRyti	abruti	NOM	m	s	
abrutie	abRyti	abruti	NOM	f	s	
abruties	abRyti	abruti	NOM	f	p	
abrutis	abRyti	abruti	NOM	m	p	
abrutissement	abRytis°m@	abrutissement	NOM	m	s	
abrutisseur	abRytis9R	abrutisseur	NOM	m	s	
abscisse	apsis	abscisse	NOM	f	s	
abscission	apsisj§	abscission	NOM	f	s	
absence	aps@s	absence	NOM	f	s	
absences	aps@s	absence	NOM	f	p	
absent	aps@	absent	NOM	m	s	
absente	aps@t	absent	NOM	f	s	
absentéisme	aps@teizm	absentéisme	NOM	m	s	
absentéiste	aps@teist	absentéiste	NOM		s	
absentes	aps@t	absent	NOM	f	p	
absents	aps@	absent	NOM	m	p	
abside	apsid	abside	NOM	f	s	
absides	apsid	abside	NOM	f	p	
absidiole	apsidjOl	absidiole	NOM	f	s	
absinthe	aps5t	absinthe	NOM	f	s	
absolu	apsoly	absolu	NOM	m	s	
absolus	apsoly	absolu	NOM	m	p	
absolution	apsolysj§	absolution	NOM	f	s	
absolutisme	apsolytizm	absolutisme	NOM	m	s	
absorbant	apsORb@	absorbant	NOM	m	s	
absorbeur	apsORb9R	absorbeur	NOM	m	s	
absorption	apsORpsj§	absorption	NOM	f	s	
absorptions	apsORpsj§	absorption	NOM	f	p	
absoute	apsut	absoute	NOM	f	s	
abstention	apst@sj§	abstention	NOM	f	s	
abstentionniste	apst@sjOnist	abstentionniste	NOM		s	
abstentionnistes	apst@sjonist	abstentionniste	NOM		p	
abstinence	apstin@s	abstinence	NOM	f	s	
abstinences	apstin@s	abstinence	NOM	f	p	
abstraction	apstRaksj§	abstraction	NOM	f	s	
abstractions	apstRaksj§	abstraction	NOM	f	p	
abstrait	apstRE	abstrait	NOM	m	s	
abstraits	apstRE	abstrait	NOM	m	p	
absurde	apsyRd	absurde	NOM	m	s	
absurdes	apsyRd	absurde	NOM	m	p	
absurdistes	apsyRdist	absurdiste	NOM		p	
absurdité	apsyRdite	absurdité	NOM	f	s	
absurdités	apsyRdite	absurdité	NOM	f	p	
abus	aby	abus	NOM	m		
abuseur	abyz9R	abuseur	NOM	m	s	
abyme	abim	abyme	NOM	m	s	
abysse	abis	abysse	NOM	m	s	
abysses	abis	abysse	NOM	m	p	
abyssin	abis5	abyssin	NOM	m	s	
abyssinienne	abisinjEn	abyssinien	NOM	f	s	
acabit	akabi	acabit	NOM	m	s	
acabits	akabi	acabit	NOM	m	p	
acacia	akasja	acacia	NOM	m	s	
acacias	akasja	acacia	NOM	m	p	
académicien	akademisj5	académicien	NOM	m	s	
académiciens	akademisj5	académicien	NOM	m	p	
académie	akademi	académie	NOM	f	s	
académies	akademi	académie	NOM	f	p	
académisme	akademizm	académisme	NOM	m	s	
acadien	akadj5	acadien	NOM	m	s	
acadienne	akadjEn	acadienne	NOM	f	s	
acadiens	akadj5	acadien	NOM	m	p	
acajou	akaZu	acajou	NOM	m	s	
acajous	akaZu	acajou	NOM	m	p	
acanthe	ak@t	acanthe	NOM	f	s	
acanthes	ak@t	acanthe	NOM	f	p	
acariens	akaRj5	acarien	NOM	m	p	
accablement	akabl°m@	accablement	NOM	m	s	
accablements	akabl°m@	accablement	NOM	m	p	
accalmie	akalmi	accalmie	NOM	f	s	
accalmies	akalmi	accalmie	NOM	f	p	
accastillage	akastijaZ	accastillage	NOM	m	s	
accastillages	akastijaZ	accastillage	NOM	m	p	
accélérateur	akseleRat9R	accélérateur	NOM	m	s	
accélérateurs	akseleRat9R	accélérateur	NOM	m	p	
accélération	akseleRasj§	accélération	NOM	f	s	
accélérations	akseleRasj§	accélération	NOM	f	p	
accéléré	akseleRe	accéléré	NOM	m	s	
accent	aks@	accent	NOM	m	s	
accenteur	aks@t9R	accenteur	NOM	m	s	
accents	aks@	accent	NOM	m	p	
accentuation	aks@t8asj§	accentuation	NOM	f	s	
acceptant	aksEpt@	acceptant	NOM	m	s	
acceptation	aksEptasj§	acceptation	NOM	f	s	
acceptations	aksEptasj§	acceptation	NOM	f	p	
acception	aksEpsj§	acception	NOM	f	s	
acceptions	aksEpsj§	acception	NOM	f	p	
accès	aksE	accès	NOM	m		
accesseurs	aksEs9R	accesseur	NOM	m	p	
accessibilité	aksEsibilite	accessibilité	NOM	f	s	
accession	aksEsj§	accession	NOM	f	s	
accessit	aksesit	accessit	NOM	m	s	
accessoire	akseswaR	accessoire	NOM	m	s	
accessoires	akseswaR	accessoire	NOM	m	p	
accessoiriste	akseswaRist	accessoiriste	NOM		s	
accessoiristes	akseswaRist	accessoiriste	NOM		p	
accident	aksid@	accident	NOM	m	s	
accidenté	aksid@te	accidenté	NOM	m	s	
accidentée	aksid@te	accidenté	NOM	f	s	
accidentés	aksid@te	accidenté	NOM	m	p	
accidents	aksid@	accident	NOM	m	p	
acclamation	aklamasj§	acclamation	NOM	f	s	
acclamations	aklamasj§	acclamation	NOM	f	p	
acclimatation	aklimatasj§	acclimatation	NOM	f	s	
acclimatement	aklimat°m@	acclimatement	NOM	m	s	
accointance	akw5t@s	accointance	NOM	f	s	
accointances	akw5t@s	accointance	NOM	f	p	
accolade	akolad	accolade	NOM	f	s	
accolades	akolad	accolade	NOM	f	p	
accolement	akOl°m@	accolement	NOM	m	s	
accommodation	akomodasj§	accommodation	NOM	f	s	
accommodement	akomOd°m@	accommodement	NOM	m	s	
accommodements	akomOd°m@	accommodement	NOM	m	p	
accompagnateur	ak§paNat9R	accompagnateur	NOM	m	s	
accompagnateurs	ak§paNat9R	accompagnateur	NOM	m	p	
accompagnatrice	ak§paNatRis	accompagnateur	NOM	f	s	
accompagnatrices	ak§paNatRis	accompagnateur	NOM	f	p	
accompagnement	ak§paN°m@	accompagnement	NOM	m	s	
accompagnements	ak§paN°m@	accompagnement	NOM	m	p	
accompli	ak§pli	accompli	NOM	m	s	
accomplissement	ak§plis°m@	accomplissement	NOM	m	s	
accomplissements	ak§plis°m@	accomplissement	NOM	m	p	
accord	akOR	accord	NOM	m	s	
accordailles	akORdaj	accordailles	NOM	f	p	
accordé	akORde	accordé	NOM	m	s	
accordée	akORde	accordé	NOM	f	s	
accordées	akORde	accordé	NOM	f	p	
accordement	akORd°m@	accordement	NOM	m	s	
accordéon	akORde§	accordéon	NOM	m	s	
accordéoniste	akORdeonist	accordéoniste	NOM		s	
accordéonistes	akORdeonist	accordéoniste	NOM		p	
accordéons	akORde§	accordéon	NOM	m	p	
accordés	akORde	accordé	NOM	m	p	
accordeur	akORd9R	accordeur	NOM	m	s	
accordo	akORdo	accordo	NOM	m	s	
accords	akOR	accord	NOM	m	p	
accores	akOR	accore	NOM	m	p	
accostage	akOstaZ	accostage	NOM	m	s	
accotement	akOt°m@	accotement	NOM	m	s	
accotements	akOt°m@	accotement	NOM	m	p	
accotés	akote	accoté	NOM	m	p	
accotoirs	akotwaR	accotoir	NOM	m	p	
accouchée	akuSe	accouchée	NOM	f	s	
accouchées	akuSe	accouchée	NOM	f	p	
accouchement	akuS°m@	accouchement	NOM	m	s	
accouchements	akuS°m@	accouchement	NOM	m	p	
accoucheur	akuS9R	accoucheur	NOM	m	s	
accoucheurs	akuS9R	accoucheur	NOM	m	p	
accoucheuse	akuS2z	accoucheur	NOM	f	s	
accoudoir	akudwaR	accoudoir	NOM	m	s	
accoudoirs	akudwaR	accoudoir	NOM	m	p	
accouplement	akupl°m@	accouplement	NOM	m	s	
accouplements	akupl°m@	accouplement	NOM	m	p	
accoutrement	akutR°m@	accoutrement	NOM	m	s	
accoutrements	akutR°m@	accoutrement	NOM	m	p	
accoutumance	akutym@s	accoutumance	NOM	f	s	
accoutumances	akutym@s	accoutumance	NOM	f	p	
accras	akRas	accra	NOM	m	p	
accréditation	akReditasj§	accréditation	NOM	f	s	
accréditations	akReditasj§	accréditation	NOM	f	p	
accrédités	akRedite	accrédité	NOM	m	p	
accréditif	akReditif	accréditif	NOM	m	s	
accrétion	akResj§	accrétion	NOM	f	s	
accro	akRo	accro	NOM	m	s	
accroc	akRo	accroc	NOM	m	s	
accrochage	akRoSaZ	accrochage	NOM	m	s	
accrochages	akRoSaZ	accrochage	NOM	m	p	
accroche	akROS	accroche	NOM	f	s	
accroche-coeur	akROSk9R	accroche-coeur	NOM	m	s	
accroche-coeurs	akROSk9R	accroche-coeur	NOM	m	p	
accroches	akROS	accroche	NOM	f	p	
accrocs	akRo	accroc	NOM	m	p	
accroissement	akRwas°m@	accroissement	NOM	m	s	
accros	akRo	accro	NOM	m	p	
accroupissement	akRupis°m@	accroupissement	NOM	m	s	
accrue	akRy	accrue	NOM	f	s	
accu	aky	accu	NOM	m	s	
accueil	ak9j	accueil	NOM	m	s	
accueils	ak9j	accueil	NOM	m	p	
acculturation	akyltyRasj§	acculturation	NOM	f	s	
accumulateur	akymylat9R	accumulateur	NOM	m	s	
accumulateurs	akymylat9R	accumulateur	NOM	m	p	
accumulation	akymylasj§	accumulation	NOM	f	s	
accumulations	akymylasj§	accumulation	NOM	f	p	
accus	aky	accu	NOM	m	p	
accusateur	akyzat9R	accusateur	NOM	m	s	
accusateurs	akyzat9R	accusateur	NOM	m	p	
accusatif	akyzatif	accusatif	NOM	m	s	
accusation	akyzasj§	accusation	NOM	f	s	
accusations	akyzasj§	accusation	NOM	f	p	
accusatrices	akyzatRis	accusateur	NOM	f	p	
accusé	akyze	accusé	NOM	m	s	
accusée	akyze	accusé	NOM	f	s	
accusées	akyze	accusé	NOM	f	p	
accusés	akyze	accusé	NOM	m	p	
ace	Ejs	ace	NOM	m	s	
acéphale	asefal	acéphale	NOM	m	s	
acéphales	asefal	acéphale	NOM	m	p	
acerbité	asERbite	acerbité	NOM	m	s	
acetabulum	asetabylOm	acetabulum	NOM	m	s	
acétate	asetat	acétate	NOM	m	s	
acétone	asetOn	acétone	NOM	f	s	
acétylcholine	asetilkolin	acétylcholine	NOM	f	s	
acétylène	asetilEn	acétylène	NOM	m	s	
achalandage	aSal@daZ	achalandage	NOM	m	s	
achards	aSaR	achards	NOM	m	p	
acharnement	aSaRn°m@	acharnement	NOM	m	s	
acharnements	aSaRn°m@	acharnement	NOM	m	p	
achat	aSa	achat	NOM	m	s	
achats	aSa	achat	NOM	m	p	
ache	aS	ache	NOM	f	s	
achélème	akelEm	achélème	NOM	m	s	
achélèmes	akelEm	achélème	NOM	m	p	
acheminement	aS°min°m@	acheminement	NOM	m	s	
aches	aS	ache	NOM	f	p	
acheteur	aS°t9R	acheteur	NOM	m	s	
acheteurs	aS°t9R	acheteur	NOM	m	p	
acheteuse	aS°t2z	acheteur	NOM	f	s	
acheteuses	aS°t2z	acheteur	NOM	f	p	
achèvement	aSEv°m@	achèvement	NOM	m	s	
achèvements	aSEv°m@	achèvement	NOM	m	p	
achillée	akile	achillée	NOM	f	s	
achondroplasie	ak§dRoplazi	achondroplasie	NOM	f	s	
achondroplasies	ak§dRoplazi	achondroplasie	NOM	f	p	
achoppement	aSOp°m@	achoppement	NOM	m	s	
acid jazz	asiddZaz	acid jazz	NOM	m	s	
acide	asid	acide	NOM	m	s	
acides	asid	acide	NOM	m	p	
acidité	asidite	acidité	NOM	f	s	
acidités	asidite	acidité	NOM	f	p	
acidocétose	asidosetoz	acidocétose	NOM	f	s	
acidose	asidoz	acidose	NOM	f	s	
acier	asje	acier	NOM	m	s	
aciérie	asjeRi	aciérie	NOM	f	s	
aciéries	asjeRi	aciérie	NOM	f	p	
aciers	asje	acier	NOM	m	p	
acmé	akme	acmé	NOM	f	s	
acné	akne	acné	NOM	f	s	
acnés	akne	acné	NOM	f	p	
acolyte	akolit	acolyte	NOM	m	s	
acolytes	akolit	acolyte	NOM	m	p	
acompte	ak§t	acompte	NOM	m	s	
acomptes	ak§t	acompte	NOM	m	p	
aconiers	akonje	aconier	NOM	m	p	
aconit	akonit	aconit	NOM	m	s	
acouphène	akufEn	acouphène	NOM	m	s	
acoustique	akustik	acoustique	NOM	f	s	
acoustiques	akustik	acoustique	NOM	f	p	
acqua-toffana	akwatofana	acqua-toffana	NOM	f	s	
acquéreur	akeR9R	acquéreur	NOM	m	s	
acquéreurs	akeR9R	acquéreur	NOM	m	p	
acquêt	akE	acquêt	NOM	m	s	
acquêts	akE	acquêt	NOM	m	p	
acquiescement	akjEs°m@	acquiescement	NOM	m	s	
acquiescements	akjEs°m@	acquiescement	NOM	m	p	
acquis	aki	acquis	NOM	m		
acquisition	akizisj§	acquisition	NOM	f	s	
acquisitions	akizisj§	acquisition	NOM	f	p	
acquit	aki	acquit	NOM	m	s	
acquits	aki	acquit	NOM	m	p	
acquitté	akite	acquitté	NOM	m	s	
acquittement	akit°m@	acquittement	NOM	m	s	
acquittés	akite	acquitté	NOM	m	p	
acra	akRa	acra	NOM	m	s	
acre	akR	acre	NOM	f	s	
acres	akR	acre	NOM	f	p	
âcreté	akR°te	âcreté	NOM	f	s	
acrimonie	akRimoni	acrimonie	NOM	f	s	
acrobate	akRobat	acrobate	NOM		s	
acrobates	akRobat	acrobate	NOM		p	
acrobatie	akRobasi	acrobatie	NOM	f	s	
acrobaties	akRobasi	acrobatie	NOM	f	p	
acromion	akRomj§	acromion	NOM	m	s	
acronyme	akRonim	acronyme	NOM	m	s	
acrophobie	akRofobi	acrophobie	NOM	f	s	
acropole	akRopOl	acropole	NOM	f	s	
acrostiche	akROstiS	acrostiche	NOM	m	s	
acrotère	akRotER	acrotère	NOM	m	s	
acrylique	akRilik	acrylique	NOM	m	s	
acryliques	akRilik	acrylique	NOM	m	p	
acrylonitrile	akRilonitRil	acrylonitrile	NOM	m	s	
acte	akt	acte	NOM	m	s	
actes	akt	acte	NOM	m	p	
acteur	akt9R	acteur	NOM	m	s	
acteurs	akt9R	acteur	NOM	m	p	
actif	aktif	actif	NOM	m	s	
actifs	aktif	actif	NOM	m	p	
actine	aktin	actine	NOM	f	s	
actinies	aktini	actinie	NOM	f	p	
action	aksj§	action	NOM	f	s	
action painting	akSj9npEjntiG	action painting	NOM	f	s	
actionnaire	aksjonER	actionnaire	NOM		s	
actionnaires	aksjonER	actionnaire	NOM		p	
actionnariat	aksjOnaRja	actionnariat	NOM	m	s	
actionnement	aksjOn°m@	actionnement	NOM	m	s	
actionneur	aksjOn9R	actionneur	NOM	m	s	
actions	aksj§	action	NOM	f	p	
activateur	aktivat9R	activateur	NOM	m	s	
activation	aktivasj§	activation	NOM	f	s	
activations	aktivasj§	activation	NOM	f	p	
activisme	aktivizm	activisme	NOM	m	s	
activiste	aktivist	activiste	NOM		s	
activistes	aktivist	activiste	NOM		p	
activité	aktivite	activité	NOM	f	s	
activités	aktivite	activité	NOM	f	p	
actrice	aktRis	acteur	NOM	f	s	
actrices	aktRis	acteur	NOM	f	p	
actuaire	akt8ER	actuaire	NOM		s	
actualisation	akt8alizasj§	actualisation	NOM	f	s	
actualité	akt8alite	actualité	NOM	f	s	
actualités	akt8alite	actualité	NOM	f	p	
actuation	akt8asj§	actuation	NOM	f	s	
acuité	ak8ite	acuité	NOM	f	s	
acumen	akymEn	acumen	NOM	m	s	
acuponcteur	akyp§kt9R	acuponcteur	NOM	m	s	
acuponcture	akyp§ktyR	acuponcture	NOM	f	s	
acupuncteur	akyp§kt9R	acupuncteur	NOM	m	s	
acupuncture	akyp§ktyR	acupuncture	NOM	f	s	
ada	ada	ada	NOM	m	s	
adage	adaZ	adage	NOM	m	s	
adages	adaZ	adage	NOM	m	p	
adagio	adadZjo	adagio	NOM	m	s	
adaptabilité	adaptabilite	adaptabilité	NOM	f	s	
adaptateur	adaptat9R	adaptateur	NOM	m	s	
adaptateurs	adaptat9R	adaptateur	NOM	m	p	
adaptation	adaptasj§	adaptation	NOM	f	s	
adaptations	adaptasj§	adaptation	NOM	f	p	
addenda	ad5da	addenda	NOM	m		
addendum	ad5dOm	addendum	NOM	m	s	
addiction	adiksj§	addiction	NOM	f	s	
additif	aditif	additif	NOM	m	s	
additifs	aditif	additif	NOM	m	p	
addition	adisj§	addition	NOM	f	s	
additions	adisj§	addition	NOM	f	p	
adducteur	adykt9R	adducteur	NOM	m	s	
adducteurs	adykt9R	adducteur	NOM	m	p	
adduction	adyksj§	adduction	NOM	f	s	
adénine	adenin	adénine	NOM	f	s	
adénocarcinome	adenokaRsinom	adénocarcinome	NOM	m	s	
adénome	adenom	adénome	NOM	m	s	
adénopathie	adenopati	adénopathie	NOM	f	s	
adénosine	adenozin	adénosine	NOM	f	s	
adénovirus	adenoviRys	adénovirus	NOM	m		
adent	ad@	adent	NOM	m	s	
adepte	adEpt	adepte	NOM		s	
adeptes	adEpt	adepte	NOM		p	
adéquation	adekwasj§	adéquation	NOM	f	s	
adhérence	adeR@s	adhérence	NOM	f	s	
adhérences	adeR@s	adhérence	NOM	f	p	
adhérent	adeR@	adhérent	NOM	m	s	
adhérents	adeR@	adhérent	NOM	m	p	
adhésif	adezif	adhésif	NOM	m	s	
adhésifs	adezif	adhésif	NOM	m	p	
adhésion	adezj§	adhésion	NOM	f	s	
adhésions	adezj§	adhésion	NOM	f	p	
adieu	adj2	adieu	NOM	m	s	
adieux	adj2	adieu	NOM	m	p	
adiposité	adipozite	adiposité	NOM	f	s	
adja	adZa	adja	NOM	m	s	
adjas	adZa	adja	NOM	m	p	
adjectif	adZEktif	adjectif	NOM	m	s	
adjectifs	adZEktif	adjectif	NOM	m	p	
adjoint	adZw5	adjoint	NOM	m	s	
adjointe	adZw5t	adjoint	NOM	f	s	
adjointes	adZw5t	adjoint	NOM	f	p	
adjoints	adZw5	adjoint	NOM	m	p	
adjonction	adZ§ksj§	adjonction	NOM	f	s	
adjudant	adZyd@	adjudant	NOM	m	s	
adjudant-chef	adZyd@SEf	adjudant-chef	NOM	m	s	
adjudant-major	adZyd@maZOR	adjudant-major	NOM	m	s	
adjudants	adZyd@	adjudant	NOM	m	p	
adjudants-chefs	adZyd@SEf	adjudant-chef	NOM	m	p	
adjudication	adZydikasj§	adjudication	NOM	f	s	
adjudications	adZydikasj§	adjudication	NOM	f	p	
adjupète	adZypEt	adjupète	NOM	m	s	
adjupètes	adZypEt	adjupète	NOM	m	p	
adjuration	adZyRasj§	adjuration	NOM	f	s	
adjurations	adZyRasj§	adjuration	NOM	f	p	
adjutrice	adZytRis	adjutrice	NOM	f	s	
adjuvants	adZyv@	adjuvant	NOM	m	p	
administrateur	administRat9R	administrateur	NOM	m	s	
administrateurs	administRat9R	administrateur	NOM	m	p	
administratif	administRatif	administratif	NOM	m	s	
administratifs	administRatif	administratif	NOM	m	p	
administration	administRasj§	administration	NOM	f	s	
administrations	administRasj§	administration	NOM	f	p	
administrative	administRativ	administratif	NOM	f	s	
administratrice	administRatRis	administrateur	NOM	f	s	
administré	administRe	administré	NOM	m	s	
administrée	administRe	administré	NOM	f	s	
administrées	administRe	administré	NOM	f	p	
administrés	administRe	administré	NOM	m	p	
admirateur	admiRat9R	admirateur	NOM	m	s	
admirateurs	admiRat9R	admirateur	NOM	m	p	
admiration	admiRasj§	admiration	NOM	f	s	
admirations	admiRasj§	admiration	NOM	f	p	
admiratrice	admiRatRis	admirateur	NOM	f	s	
admiratrices	admiRatRis	admirateur	NOM	f	p	
admis	admi	admis	NOM	m		
admissibilité	admisibilite	admissibilité	NOM	f	s	
admissible	admisibl	admissible	NOM		s	
admissibles	admisibl	admissible	NOM		p	
admission	admisj§	admission	NOM	f	s	
admissions	admisj§	admission	NOM	f	p	
admixtion	admiksj§	admixtion	NOM	f	s	
admonestation	admonEstasj§	admonestation	NOM	f	s	
admonestations	admonEstasj§	admonestation	NOM	f	p	
admonition	admonisj§	admonition	NOM	f	s	
admonitions	admonisj§	admonition	NOM	f	p	
ado	ado	ado	NOM		s	
adobe	adOb	adobe	NOM	m	s	
adolescence	adoles@s	adolescence	NOM	f	s	
adolescences	adoles@s	adolescence	NOM	f	p	
adolescent	adoles@	adolescent	NOM	m	s	
adolescente	adoles@t	adolescent	NOM	f	s	
adolescentes	adoles@t	adolescent	NOM	f	p	
adolescents	adoles@	adolescent	NOM	m	p	
adon	ad§	adon	NOM	m	s	
adonies	adoni	adonies	NOM	f	p	
adonis	adonis	adonis	NOM	m		
adoptant	adOpt@	adoptant	NOM	m	s	
adopté	adOpte	adopté	NOM	m	s	
adoptée	adOpte	adopté	NOM	f	s	
adoptées	adOpte	adopté	NOM	f	p	
adoptés	adOpte	adopté	NOM	m	p	
adoption	adOpsj§	adoption	NOM	f	s	
adoptions	adOpsj§	adoption	NOM	f	p	
adorateur	adoRat9R	adorateur	NOM	m	s	
adorateurs	adoRat9R	adorateur	NOM	m	p	
adoration	adoRasj§	adoration	NOM	f	s	
adorations	adoRasj§	adoration	NOM	f	p	
adoratrice	adoRatRis	adorateur	NOM	f	s	
adoratrices	adoRatRis	adorateur	NOM	f	p	
ados	ado	ados	NOM	m		
adoubement	adub°m@	adoubement	NOM	m	s	
adoucissant	adusis@	adoucissant	NOM	m	s	
adoucissement	adusis°m@	adoucissement	NOM	m	s	
adoucissements	adusis°m@	adoucissement	NOM	m	p	
adoucisseur	adusis9R	adoucisseur	NOM	m	s	
adoucisseurs	adusis9R	adoucisseur	NOM	m	p	
adp	adepe	adp	NOM	m	s	
adrénaline	adRenalin	adrénaline	NOM	f	s	
adrénalines	adRenalin	adrénaline	NOM	f	p	
adressage	adResaZ	adressage	NOM	m	s	
adresse	adREs	adresse	NOM	f	s	
adresses	adREs	adresse	NOM	f	p	
adret	adRE	adret	NOM	m	s	
