ortho	phon	lemme	cgram	genre	nombre	
dérangement	deR@Z°m@	dérangement	NOM	m	s	
dérangements	deR@Z°m@	dérangement	NOM	m	p	
dérangés	deR@Ze	dérangé	NOM	m	p	
dérapage	deRapaZ	dérapage	NOM	m	s	
dérapages	deRapaZ	dérapage	NOM	m	p	
dératé	deRate	dératé	NOM	m	s	
dératées	deRate	dératé	NOM	f	p	
dératés	deRate	dératé	NOM	m	p	
dératisation	deRatizasj§	dératisation	NOM	f	s	
dératisations	deRatizasj§	dératisation	NOM	f	p	
derby	dERbi	derby	NOM	m	s	
derbys	dERbi	derby	NOM	m	p	
derche	dERS	derche	NOM	m	s	
derches	dERS	derche	NOM	m	p	
déréglage	deReglaZ	déréglage	NOM	m	s	
dérèglement	deREgl°m@	dérèglement	NOM	m	s	
déréglementation	deRegl°m@tasj§	déréglementation	NOM	f	s	
dérèglements	deREgl°m@	dérèglement	NOM	m	p	
dérégulation	deRegylasj§	dérégulation	NOM	f	s	
déréliction	deReliksj§	déréliction	NOM	f	s	
déresponsabilisation	deREsp§sabilizasj§	déresponsabilisation	NOM	f	s	
dérision	deRizj§	dérision	NOM	f	s	
dérivatif	deRivatif	dérivatif	NOM	m	s	
dérivatifs	deRivatif	dérivatif	NOM	m	p	
dérivation	deRivasj§	dérivation	NOM	f	s	
dérivations	deRivasj§	dérivation	NOM	f	p	
dérivé	deRive	dérivé	NOM	m	s	
dérive	deRiv	dérive	NOM	f	s	
dérivée	deRive	dérivé	NOM	f	s	
dérivés	deRive	dérivé	NOM	m	p	
dérives	deRiv	dérive	NOM	f	p	
dériveur	deRiv9R	dériveur	NOM	m	s	
dériveurs	deRiv9R	dériveur	NOM	m	p	
dermatite	dERmatit	dermatite	NOM	f	s	
dermatoglyphes	dERmatoglif	dermatoglyphe	NOM	m	p	
dermatologie	dERmatOlOZi	dermatologie	NOM	f	s	
dermatologiste	dERmatOlOZist	dermatologiste	NOM		s	
dermatologue	dERmatolOg	dermatologue	NOM		s	
dermatose	dERmatoz	dermatose	NOM	f	s	
dermatoses	dERmatoz	dermatose	NOM	f	p	
derme	dERm	derme	NOM	m	s	
dermeste	dERmEst	dermeste	NOM	m	s	
dermite	dERmit	dermite	NOM	f	s	
dermites	dERmit	dermite	NOM	f	p	
dermographie	dERmogRafi	dermographie	NOM	f	s	
dernier	dERnje	dernier	NOM	m	s	
dernier-né	dERnjene	dernier-né	NOM	m	s	
dernière	dERnjER	dernier	NOM	f	s	
dernière-née	dERnjERne	dernière-née	NOM	f	s	
dernières	dERnjER	dernier	NOM	f	p	
derniers	dERnje	dernier	NOM	m	p	
derniers-nés	dERnjene	dernier-né	NOM	m	p	
dérobade	deRobad	dérobade	NOM	f	s	
dérobades	deRobad	dérobade	NOM	f	p	
dérogation	deRogasj§	dérogation	NOM	f	s	
dérogations	deRogasj§	dérogation	NOM	f	p	
dérouillée	deRuje	dérouillée	NOM	f	s	
dérouillées	deRuje	dérouillée	NOM	f	p	
dérouillement	deRuj°m@	dérouillement	NOM	m	s	
déroulement	deRul°m@	déroulement	NOM	m	s	
déroulements	deRul°m@	déroulement	NOM	m	p	
dérouleur	deRul9R	dérouleur	NOM	m	s	
dérouleurs	deRul9R	dérouleur	NOM	m	p	
dérouleuse	deRul2z	dérouleur	NOM	f	s	
déroutage	deRutaZ	déroutage	NOM	m	s	
déroute	deRut	déroute	NOM	f	s	
déroutement	deRut°m@	déroutement	NOM	m	s	
déroutes	deRut	déroute	NOM	f	p	
derrick	dERik	derrick	NOM	m	s	
derricks	dERik	derrick	NOM	m	p	
derrière	dERjER	derrière	NOM	m	s	
derrières	dERjER	derrière	NOM	m	p	
ders	dER	der	NOM		p	
derviche	dERviS	derviche	NOM	m	s	
derviches	dERviS	derviche	NOM	m	p	
dés	de	dé	NOM	m	p	
désabonnements	dezabOn°m@	désabonnement	NOM	m	p	
désabusé	dezabyze	désabusé	NOM	m	s	
désabusée	dezabyze	désabusé	NOM	f	s	
désabusées	dezabyze	désabusé	NOM	f	p	
désabusement	dezabyz°m@	désabusement	NOM	m	s	
désabusés	dezabyze	désabusé	NOM	m	p	
désaccord	dezakOR	désaccord	NOM	m	s	
désaccords	dezakOR	désaccord	NOM	m	p	
désacralisation	desakRalizasj§	désacralisation	NOM	f	s	
désactivation	dezaktivasj§	désactivation	NOM	f	s	
désaffectation	dezafEktasj§	désaffectation	NOM	f	s	
désaffection	dezafEksj§	désaffection	NOM	f	s	
désagrégation	dezagRegasj§	désagrégation	NOM	f	s	
désagrément	dezagRem@	désagrément	NOM	m	s	
désagréments	dezagRem@	désagrément	NOM	m	p	
désaliénation	dezaljenasj§	désaliénation	NOM	f	s	
désalinisation	dezalinizasj§	désalinisation	NOM	f	s	
désamiantage	dezamj@taZ	désamiantage	NOM	m	s	
désaminase	dezaminaz	désaminase	NOM	f	s	
désamorçage	dezamORsaZ	désamorçage	NOM	m	s	
désamour	dezamuR	désamour	NOM	m	s	
désappointé	dezapw5te	désappointé	NOM	m	s	
désappointée	dezapw5te	désappointé	NOM	f	s	
désappointement	dezapw5t°m@	désappointement	NOM	m	s	
désappointements	dezapw5t°m@	désappointement	NOM	m	p	
désappointés	dezapw5te	désappointé	NOM	m	p	
désapprobation	dezapRobasj§	désapprobation	NOM	f	s	
désargentés	dezaRZ@te	désargenté	NOM	m	p	
désarmement	dezaRm°m@	désarmement	NOM	m	s	
désarrimage	dezaRimaZ	désarrimage	NOM	m	s	
désarroi	dezaRwa	désarroi	NOM	m	s	
désarrois	dezaRwa	désarroi	NOM	m	p	
désarticulation	dezaRtikylasj§	désarticulation	NOM	f	s	
désastre	dezastR	désastre	NOM	m	s	
désastres	dezastR	désastre	NOM	m	p	
désavantage	dezav@taZ	désavantage	NOM	m	s	
désavantages	dezav@taZ	désavantage	NOM	m	p	
désaveu	dezav2	désaveu	NOM	m	s	
désaveux	dezav2	désaveux	NOM	m	p	
désaxé	dezakse	désaxé	NOM	m	s	
désaxées	dezakse	désaxé	NOM	f	p	
désaxement	dezaks°m@	désaxement	NOM	m	s	
désaxés	dezakse	désaxé	NOM	m	p	
descamisados	dEskamizado	descamisado	NOM	m	p	
descendance	des@d@s	descendance	NOM	f	s	
descendances	des@d@s	descendance	NOM	f	p	
descendant	des@d@	descendant	NOM	m	s	
descendante	des@d@t	descendant	NOM	f	s	
descendantes	des@d@t	descendant	NOM	f	p	
descendants	des@d@	descendant	NOM	m	p	
descendeur	des@d9R	descendeur	NOM	m	s	
descendeurs	des@d9R	descendeur	NOM	m	p	
descenseur	des@s9R	descenseur	NOM	m	s	
descente	des@t	descente	NOM	f	s	
descentes	des@t	descente	NOM	f	p	
descriptif	deskRiptif	descriptif	NOM	m	s	
descriptifs	deskRiptif	descriptif	NOM	m	p	
description	deskRipsj§	description	NOM	f	s	
descriptions	deskRipsj§	description	NOM	f	p	
déségrégation	desegRegasj§	déségrégation	NOM	f	s	
désemparé	dez@paRe	désemparé	NOM	m	s	
désemparée	dez@paRe	désemparé	NOM	f	s	
désemparés	dez@paRe	désemparé	NOM	m	p	
désenchaînement	dez@SEn°m@	désenchaînement	NOM	m	s	
désenchanté	dez@S@te	désenchanté	NOM	m	s	
désenchantée	dez@S@te	désenchanté	NOM	f	s	
désenchantement	dez@S@t°m@	désenchantement	NOM	m	s	
désenchantements	dez@S@t°m@	désenchantement	NOM	m	p	
désenchantés	dez@S@te	désenchanté	NOM	m	p	
désenclavement	dez@klav°m@	désenclavement	NOM	m	s	
désengagement	dez@gaZ°m@	désengagement	NOM	m	s	
désensibilisation	des@sibilizasj§	désensibilisation	NOM	f	s	
désenvoûteurs	dez@vut9R	désenvoûteur	NOM	m	p	
déséquilibre	dezekilibR	déséquilibre	NOM	m	s	
déséquilibré	dezekilibRe	déséquilibré	NOM	m	s	
déséquilibrée	dezekilibRe	déséquilibré	NOM	f	s	
déséquilibrées	dezekilibRe	déséquilibré	NOM	f	p	
déséquilibres	dezekilibR	déséquilibre	NOM	m	p	
déséquilibrés	dezekilibRe	déséquilibré	NOM	m	p	
désert	dezER	désert	NOM	m	s	
déserteur	dezERt9R	déserteur	NOM	m	s	
déserteurs	dezERt9R	déserteur	NOM	m	p	
désertion	dezERsj§	désertion	NOM	f	s	
désertions	dezERsj§	désertion	NOM	f	p	
déserts	dezER	désert	NOM	m	p	
