adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
ZAC BOUCICAUT LOT C 77-81, RUE DES CEVENNES 39-45, RUE LACORDAIRE;2011;RIVP;57;29;;11;17;construction neuve;;75015;logement familial;48.841427, 2.282827
ZAC CARDINET CHALABRE LOT E4 (EX 2-7-2) 157 RUE CARDINET;2009;RIVP;150;150;;;;construction neuve;;75017;résidence pour étudiants;48.888163, 2.315144
ZAC CLICHY BATIGNOLLES LOT 1.1;2009;SABLIERE;11;;;11;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E10 B1 ET B2;2011;PARIS HAB;4;;;4;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E10B;2012;PARIS HAB;100;;;;100;construction neuve;;75017;établissement d'hébergement pour personnes âgées dépendantes;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E6;2011;FRANC.HAB.;14;;;;14;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT N1 4 AVENUE DE LA PORTE DE CLICHY;2014;RIVP;151;151;;;;construction neuve;;75017;résidence pour étudiants;48.894847, 2.312146
ZAC CLICHY BATIGNOLLES LOT O2;2012;ELOGIE;10;;;10;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT O2;2012;ELOGIE;24;24;;;;construction neuve;;75017;logement familial;48.885097, 2.320532
97, AVENUE PHILIPPE AUGUSTE;2009;SIEMP;4;4;;;;acquisition réhabilitation;;75011;logement familial;48.855919, 2.391001
97, RUE DE CRIMEE;2001;PARIS HAB;1;1;;;;construction neuve;;75019;logement familial;48.884215, 2.383849
98, RUE DE CHARONNE;2011;DOMAXIS;17;10;;3;4;construction neuve;;75011;logement familial;48.854225, 2.383636
98, RUE RAMBUTEAU;2005;SEM CENTRE;4;2;;2;;acquisition réhabilitation;;75001;logement familial;48.862517, 2.348105
99 RUE DE L'OURCQ;2012;SIEMP;13;;;;13;acquisition réhabilitation;projet abandonné refinancé;75019;logement familial;48.893498, 2.375872
ALLEE ANDREZIEUX - 90, RUE DES POISSONNIERS;2013;SABLIERE;279;140;;70;69;acquisition réhabilitation;;75018;logement familial;48.892258, 2.352235
BARRE NOVEDIS 1, RUE DE GERGOVIE;2012;SABLIERE;298;194;;14;90;acquisition conventionnement;;75014;logement familial;48.834757, 2.313239
BERTHIER 3 ET 7 SQUARE DU VAUCLUSE ET 7 RUE DE L'ABBE ROUSSELOT;2009;PARIS HAB;3;3;;;;acquisition réhabilitation;;75017;logement familial;48.889424, 2.300567
BRUNESEAU NORD LOT B1B3;2015;PARIS HAB;100;40;;30;30;construction neuve;;75013;logement familial;48.824332, 2.386029
BRUNESEAU NORD TERRAIN CALCIA LOT B1A4 5 BOULEVARD DU GENERAL JEAN SIMON;2014;PARIS HAB;60;;;60;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;site de desserrement de foyer de travailleur migrant;48.82626, 2.383394
COURCELLES 2 ET 8 AVENUE PAUL ADAM;2008;PARIS HAB;2;2;;;;acquisition réhabilitation;;75017;logement familial;48.8875, 2.297191
COURCELLES 9 AVENUE PAUL ADAM;2009;PARIS HAB;2;2;;;;acquisition réhabilitation;;75017;logement familial;48.88734, 2.296564
FOYER BOURDELLE - 9, RUE ANTOINE BOURDELLE;2009;ELOGIE;4;4;;;;construction neuve;;75015;foyer pour jeunes travailleurs ou résidence pour jeunes;48.842889, 2.31886
FREQUEL FONTARABIE 14 RUE FONTARABIE;2009;SIEMP;24;;;;24;acquisition réhabilitation;;75020;logement familial;48.857549, 2.400659
GROUPE CHARENTON MEUNIERS 281-295, RUE DE CHARENTON;2016;HAB.CONF.;54;;;;54;construction neuve;;75012;résidence pour personnes âgées;48.834286, 2.394166
GROUPE CLAUDE VELLEFAUX;2010;PARIS HAB;1;1;;;;acquisition réhabilitation;;75010;logement familial;48.875004, 2.370258
GROUPE COURCELLES 3, AVENUE PAUL ADAM;2008;PARIS HAB;3;3;;;;acquisition réhabilitation;;75017;logement familial;48.887224, 2.296947
GROUPE EUGENE POUBELLE 2, RUE EUGENE POUBELLE;2013;PARIS HAB;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.850602, 2.278168
GROUPE GOUVION SAINT CYR 3 ET 13, RUE ALEXANDRE CHARPENTIER;2010;PARIS HAB;2;2;;;;acquisition réhabilitation;;75017;logement familial;48.884214, 2.288051
GROUPE GRANDS CHAMPS 3, RUE DES GRANDS CHAMPS;2013;PARIS HAB;2;2;;;;acquisition réhabilitation;;75020;logement familial;48.85055, 2.399543
GROUPE JEAN MOREAS 3, RUE JEAN MOREAS;2008;PARIS HAB;1;1;;;;acquisition réhabilitation;;75017;logement familial;48.886779, 2.292341
GROUPE LAMARCK 29, RUE LAMARCK;2010;PARIS HAB;1;1;;;;acquisition réhabilitation;;75018;logement familial;48.889046, 2.342878
GROUPE MOLITOR 1, RUE RAFFAELLI;2008;PARIS HAB;2;2;;;;acquisition réhabilitation;;75016;logement familial;48.84297, 2.256052
GROUPE MORILLONS 59, RUE DES MORILLONS;2010;PARIS HAB;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.832444, 2.302009
GROUPE MURAT 12-14 AVENUE DU GENERAL NIOX;2007;PARIS HAB;5;5;;;;acquisition réhabilitation;;75016;logement familial;48.836864, 2.262159
GROUPE MURAT 12-14, RUE DU GENERAL NIOX 3, RUE DU GENERAL GROSSETTI;2010;PARIS HAB;3;3;;;;acquisition réhabilitation;;75016;logement familial;48.837453, 2.263382
GROUPE MURAT 6 SQUARE DE LA BRESSE;2011;PARIS HAB;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.837318, 2.262734
GROUPE PORTE DOREE 7, AVENUE GENERAL LAPERRINE;2011;PARIS HAB;2;2;;;;acquisition réhabilitation;;75012;logement familial;48.834131, 2.406983
GROUPE VERSAILLES 1 RUE PIERRE LOUYS;2007;PARIS HAB;2;2;;;;acquisition réhabilitation;;75016;logement familial;48.85016, 2.276025
GROUPE VERSAILLES 5, RUE PIERRE LOUYS;2010;PARIS HAB;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.850299, 2.275708
HOPITAL BROUSSAIS 15 RUE DES ARBUSTES 96-108 RUE DIDOT 1-29 RUE DE MARINIERS;2011;RIVP;97;97;;;;construction neuve;;75014;résidence pour étudiants;48.826887, 2.312448
HOPITAL BROUSSAIS 15P RUE DES ARBUSTES 96-108 RUE DIDOT 1-29 RUE DE MARINIERS;2010;RIVP;112;112;;;;construction neuve;;75014;établissement d'hébergement pour personnes âgées dépendantes;48.827084, 2.312192
HOPITAL HEROLD (APHP) 7, PLACE RHIN ET DANUBE (EHPAD);2006;CASVP;100;;;;100;construction neuve;;75019;établissement d'hébergement pour personnes âgées dépendantes;48.882142, 2.393292
ILOT CAILLIE 1-3, RUE D'AUBERVILLIERS;2007;SIEMP;11;11;;;;construction neuve;;75018;logement familial;48.884706, 2.364941
ILOT MONTPARNASSE GAITE 9-31, RUE DU COMMANDANT MOUCHOTTE 68-82, AVENUE DU MAINE;2015;RIVP;62;24;;19;19;construction neuve;;75014;logement familial;48.837944, 2.319625
ILOT MOULIN ROUGE 11 RUE LEPIC;2009;IMM 3F;54;31;;7;16;acquisition conventionnement;;75018;logement familial;48.884564, 2.333343
LA SAMARITAINE 14, 18 ET 30 RUE DE L'ARBRE SEC;2013;PARIS HAB;96;48;;24;24;construction neuve;;75001;logement familial;48.860087, 2.342265
LAENNEC 79, RUE VANEAU;2007;PARIS HAB;14;;;;14;construction neuve;projet abandonné refinancé;75005;logement familial;48.848413, 2.346552
LOT 2 - 9 -11, RUE DU DEPARTEMENT - 14 A 16, PASSAGE GOIX;2002;SAGI;16;;;;16;construction neuve;;75019;logement familial;48.884837, 2.366475
LOT 3 - 13 - 17 RUE DU DEPARTEMENT;2002;SAGI;12;12;;;;construction neuve;;75019;logement familial;48.885344, 2.366131
LOT 4.5 116, RUE DE SAUSSURE 6 RUE CHRISTINE DE PISAN;2010;SABLIERE;100;50;;20;30;construction neuve;;75017;logement familial;48.889348, 2.308827
LOT B5 - 8-10, RUE MICHEL DE BOURGES 2, IMPASSE DE LA LOI;2003;PARIS HAB;21;21;;;;construction neuve;;75020;résidence pour étudiants;48.854275, 2.400533
LOT D1A - 94-98 RUE DES HAIES;2001;RIVP;16;16;;;;construction neuve;;75020;logement familial;48.855434, 2.404186
LOT D1B - 86 RUE DES HAIES;2001;RIVP;6;6;;;;acquisition réhabilitation;;75020;logement familial;48.855, 2.403874
OURCQ - JAURES - 1-5 RUE DE L'OURCQ ET 143 AV JEAN JAURES - LOT 1A;2010;BATIGERE;24;;;;24;construction neuve;;75019;logement familial;
POLE 2 - LOT 3B (CHATEAU OUVRIER) 32-34 RUE PERNETY PL BK/14;2002;PARIS HAB;20;20;;;;acquisition réhabilitation;;75014;logement familial;48.833609, 2.318815
PORTE DE MONTREUIL 4 SQUARE JULES CHERET;2009;PARIS HAB;2;2;;;;acquisition réhabilitation;;75020;logement familial;48.855468, 2.411666
PORTE DE MONTREUIL DIVERSES ADRESSES;2014;PARIS HAB;10;;;10;;acquisition réhabilitation;;75020;logement familial;48.85382, 2.411499
PORTE DE VINCENNES 2 ET 3 SQUARE DE L'ESTEREL;2009;PARIS HAB;3;3;;;;acquisition réhabilitation;;75020;logement familial;48.848481, 2.412246
PORTE DOREE 4, BOULEVARD SOULT;2014;PARIS HAB;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.836246, 2.407801
PORTE POUCHET - 47, RUE PIERRE REBIERE (RECONSTITUTION TOUR BOREL) LOT A;2007;PARIS HAB;92;;92;;;construction neuve;;75017;logement familial;48.897231, 2.317912
PORTE POUCHET - 82 RUE POUCHET 11 IMPASSE DELIGNY;2007;PARIS HAB;7;;7;;;construction neuve;;75017;logement familial;48.897932, 2.32346
RUE PAUL BOURGET LOT A;2015;ELOGIE;119;47;;36;36;construction neuve;;75013;logement familial;48.817881, 2.357641
RUE PAUL BOURGET LOT B;2015;ELOGIE;78;32;;23;23;construction neuve;;75013;logement familial;48.817881, 2.357641
RUE PERRICHON 1 SQUARE DU MONT BLANC;2014;PARIS HAB;87;39;;22;26;acquisition conventionnement;;75016;logement familial;48.849439, 2.273441
RUE PETIT - 15-21-23, ALLEE FONTAINEBLEAU;2001;IMM 3F;224;;;;224;acquisition conventionnement;;75019;logement familial;48.885531, 2.391363
SITE HOPITAL SAINT MICHEL 33, RUE OLIVIER DE SERRES (BAT B);2012;FRANC.HAB.;60;;;;60;construction neuve;;75015;établissement d'hébergement pour personnes âgées dépendantes;48.835474, 2.296703
SITE HOPITAL SAINT MICHEL 33, RUE OLIVIER DE SERRES (BAT C);2012;FRANC.HAB.;20;;;;20;construction neuve;;75015;établissement d'hébergement pour personnes âgées dépendantes;48.835474, 2.296703
TERRAINS AVIATION CIVILE 135-147 RUE CONVENTION, 246 RUE LECOURBE;2006;PARIS HAB;127;66;;33;28;construction neuve;;75015;logement familial;48.839335, 2.291928
TOUR MANTOUE 9 VILLA D'ESTE;2010;COOP.FAM.;109;109;;;;acquisition conventionnement;;75013;logement familial;
TROENES - 64, RUE DES AMANDIERS;2010;RSF;222;;;222;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75020;foyer de travailleurs migrants;48.865977, 2.389769
VIGNOLES EST SECTEUR SAVART 80-82, RUE DES VIGNOLES;2010;ELOGIE;30;20;;3;7;construction neuve;;75020;logement familial;48.855796, 2.402261
VILLA DU LAVOIR 70, RUE RENE BOULANGER;2013;RIVP;7;7;;;;acquisition réhabilitation;;75010;logement familial;48.869225, 2.35798
VIOLET - 11 RUE GABRIEL LAUMAIN 36-38, RUE DU FAUBOURG POISSONNIERE;2010;RSF;54;;;54;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75010;foyer de travailleurs migrants;48.876626, 2.348752
ZAC BEDIER - ILOT YERSIN - AVENUE DE LA PORTE D'IVRY AVENUE CLAUDE REGAUD;2012;PARIS HAB;21;;;;21;construction neuve;;75013;établissement d'hébergement pour personnes âgées dépendantes;48.821471, 2.372502
ZAC BEDIER - ILOT YERSIN - AVENUE DE LA PORTE D'IVRY AVENUE CLAUDE REGAUD;2012;PARIS HAB;17;;;17;;construction neuve;;75013;résidence sociale pour démuni;48.821471, 2.372502
ZAC CLICHY BATIGNOLLES LOT 1.1;2009;SABLIERE;11;;;;11;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E6;2011;FRANC.HAB.;23;23;;;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT N1 4 AVENUE DE LA PORTE DE CLICHY;2014;RIVP;41;;;41;;construction neuve;;75017;centre d'hébergement et de réinsertion sociale;48.894847, 2.312146
ZAC CLICHY BATIGNOLLES LOT O6A;2013;RSF;50;;;50;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75017;site de desserrement de foyer de travailleur migrant;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT O6A;2013;IMM 3F;74;36;;15;23;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC RUNGIS 35 RUE BRILLAT SAVARIN;2008;ESPACILHAB;82;;;;82;construction neuve;;75013;résidence pour étudiants;48.822387, 2.346169
ZAC VAUGIRARD LOT B1 RUE DE LA PROCESSION 21, RUE ANDRE GIDE;2002;PARIS HAB;55;55;;;;construction neuve;;75015;logement familial;48.836166, 2.311849
23, RUE LECLUSE;2007;LOGICIL;6;;;;6;construction neuve;;75017;logement familial;48.884408, 2.325185
230, RUE DE COURCELLES;2015;RIVP;12;5;;7;;construction neuve;;75017;logement familial;48.889235, 2.293353
232, BOULEVARD PEREIRE;2014;FREHA;2;;;2;;acquisition réhabilitation;;75017;logement familial;48.878466, 2.284828
232, RUE DE CHARENTON 3-5 RUELLE DE LA PLANCHETTE;2008;SEMIDEP;23;23;;;;construction neuve;projet abandonné refinancé;75012;foyer pour personnes handicapées;48.839533, 2.388583
239, AVENUE GAMBETTA;2013;PARIS HAB;1;;;;1;acquisition réhabilitation;;75020;logement familial;48.875101, 2.40559
24 A 28, RUE LAGHOUAT;2006;BATIGERE;38;38;;;;construction neuve;;75018;résidence pour étudiants;48.887866, 2.354087
24 RUE AMELOT 4 RUE DU CHEMIN VERT;2003;MUT.RATP;28;;;;28;construction neuve;;75011;logement familial;48.857503, 2.368692
24 RUE DARCET;2011;ADOMA;21;;;21;;construction neuve;;75017;maison relais;48.884342, 2.324735
24 RUE DE LA BANQUE;2008;PARIS HAB;10;10;;;;construction neuve;projet abandonné refinancé;75002;logement familial;48.868431, 2.34132
24 RUE DE LA BANQUE;2008;PARIS HAB;8;;;8;;construction neuve;;75002;logement familial;48.868431, 2.34132
24 RUE DE LUBECK;2004;PARIS HAB;40;22;;9;9;acquisition réhabilitation;;75016;logement familial;48.865337, 2.292075
24 RUE DU NORD - 23, RUE EMILE CHAINE;2005;SIEMP;2;;;;2;construction neuve;;75018;logement familial;48.893113, 2.350961
2-4, PLACE EDOUARD RENARD 104, BD PONIATOWSKI;2016;ELOGIE;112;45;;45;22;acquisition conventionnement;;75012;logement familial;48.834776, 2.407469
24, RUE DE CRONSTADT;2013;PARIS HAB;2;;;2;;acquisition conventionnement;;75015;logement familial;48.834075, 2.301618
2-4, RUE DELOUVAIN - 16, RUE DE LA VILLETTE;2003;FONCIERE;16;;;;16;construction neuve;;75019;logement familial;48.874858, 2.387492
24, RUE DU CHAUDRON;2002;SIEMP;17;17;;;;construction neuve;;75010;logement familial;48.883655, 2.364744
24, RUE PICPUS;2007;COOP.FAM.;26;;19;7;;construction neuve;;75012;logement familial;48.84585, 2.394714
2-42 AVENUE DE LA PORTE DES POISSONNIERS (APHP);2005;SAGI;89;;;;89;construction neuve;;75018;logement familial;48.899921, 2.35242
24-26, RUE DENOYEZ 10 RUE DE BELLEVILLE;2014;SIEMP;29;;;29;;acquisition réhabilitation;;75020;résidence sociale pour démuni;48.872671, 2.379455
246, RUE DE BERCY;2007;RIVP;202;202;;;;construction neuve;;75012;résidence pour étudiants;48.847378, 2.368782
25 RUE MICHEL LE COMTE;2011;ELOGIE;28;14;;7;7;construction neuve;;75003;logement familial;48.862483, 2.35503
25, RUE MORAND;2004;LOGIS;29;;;29;;acquisition réhabilitation;;75011;résidence sociale pour démuni;48.869552, 2.375619
25-27 RUE MYRHA;2006;PARIS HAB;15;15;;;;construction neuve;;75018;logement familial;48.887109, 2.354062
25-29, RUE DE LA VOUTE;2009;BATIGERE;3;3;;;;acquisition conventionnement;;75012;logement familial;48.845964, 2.407647
25-31, RUE PRADIER;2013;PARIS HAB;2;2;;;;acquisition conventionnement;;75019;logement familial;48.876801, 2.382869
254, RUE DE CHARENTON;2012;SABLIERE;8;5;;3;;acquisition réhabilitation;;75012;logement familial;48.837693, 2.390584
254, RUE DU FAUBOURG SAINT ANTOINE, 105-119 BD DIDEROT (E. NAPOLEON);2001;RIVP;82;82;;;;acquisition réhabilitation;projet abandonné;75012;résidence pour étudiants;48.848965, 2.391021
14, RUE POPINCOURT;2014;ELOGIE;7;5;;2;;construction neuve;;75011;logement familial;48.857639, 2.377306
141, BD RASPAIL;2013;PARIS HAB;1;1;;;;acquisition conventionnement;;75006;logement familial;48.842849, 2.329553
142, RUE PELLEPORT;2005;SIEMP;7;7;;;;acquisition réhabilitation;;75020;logement familial;48.871527, 2.39871
144, RUE DES POISSONNIERS;2005;SAGI;71;;;71;;construction neuve;;75018;foyer pour jeunes travailleurs ou résidence pour jeunes;48.896976, 2.352919
146-148 RUE RAYMOND LOSSERAND;2006;SABLIERE;206;206;;;;acquisition conventionnement;;75014;logement familial;48.831177, 2.312596
146TER A 154, RUE DU FG POISSONNIERE;2007;RIVP;24;14;;10;;construction neuve;;75010;logement familial;48.8819, 2.349837
147 À 171 BD VINCENT AURIOL 202-210 RUE DU CHATEAU DES RENTIERS;2012;RIVP;375;;;;375;acquisition conventionnement;;75013;logement familial;48.828018, 2.36746
148 BD VOLTAIRE (BAT A);2006;LOGIS.TR.;10;;;;10;acquisition conventionnement;;75011;logement familial;48.85638, 2.382166
148-150, AVENUE DE VERSAILLES;2013;SIFER;5;;;;5;construction neuve;;75016;logement familial;48.841108, 2.265664
14BIS RUE DE LA MOUZAIA 14 RUE DES MIGNOTTES;2011;RIVP;12;8;;;4;acquisition réhabilitation;;75019;logement familial;48.880046, 2.392068
15 RUE JEAN LANTIER;2005;SEM CENTRE;13;7;;6;;acquisition réhabilitation;projet abandonné refinancé;75001;logement familial;48.858746, 2.345576
15 RUE PAYENNE;2008;ELOGIE;8;8;;;;acquisition conventionnement;;75003;logement familial;48.858721, 2.362646
15 RUE POPINCOURT;2012;ADOMA;26;;;26;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75011;site de desserrement de foyer de travailleur migrant;48.857655, 2.377101
15, RUE BLEUE;2010;RIVP;20;12;;5;3;construction neuve;;75009;logement familial;48.875833, 2.346355
15, RUE DUPERRE;2006;RIVP;27;27;;;;acquisition réhabilitation;;75009;foyer pour jeunes travailleurs ou résidence pour jeunes;48.881981, 2.33551
15, RUE FERRUS;2009;OSICA;15;;;15;;construction neuve;;75014;foyer pour jeunes travailleurs ou résidence pour jeunes;48.830657, 2.340666
15, RUE GASSENDI;2015;TOIT&JOIE;13;6;;7;;acquisition réhabilitation;;75014;logement familial;48.835291, 2.327203
15, RUE PAULINE KERGOMARD 72-74, RUE DES ORTEAUX;2013;RIVP;74;;;;74;acquisition conventionnement;;75020;logement familial;48.855483, 2.406578
15, RUE SAINT JUST;2016;RSF;250;;;250;;construction neuve;;75017;résidence sociale pour démuni;48.896806, 2.31286
151, RUE DU FAUBOURG POISSONNIERE;2014;ELOGIE;34;19;;10;5;construction neuve;;75009;logement familial;48.880089, 2.349564
15-17, RUE BELLOT 38 A, RUE D'AUBERVILLIERS;2014;SIEMP;18;;;;18;construction neuve;;75019;logement familial;48.890243, 2.368512
153 RUE CHAMPIONNET BAT D1;2004;SADIF;42;38;;4;;acquisition réhabilitation;;75018;logement familial;48.894897, 2.335897
15-31 RUE DE LA MONTAGNE DE L'ESPEROU 26 RUE CAUCHY;2013;PARIS HAB;2;1;;1;;acquisition conventionnement;;75015;logement familial;48.841783, 2.276817
156, AVENUE PAUL VAILLANT COUTURIER;2013;ESPACILHAB;189;125;;;64;construction neuve;;75014;résidence pour étudiants;48.817004, 2.332282
158-160, BD DIDEROT;2014;RIVP;39;37;;2;;acquisition conventionnement;;75012;logement familial;48.847868, 2.391737
158-166, RUE DE CHARONNE;2003;ELOGIE;50;;;;50;acquisition conventionnement;;75020;logement familial;48.857072, 2.393879
16, RUE CLAIRAUT;2015;RIVP;28;8;;14;6;acquisition réhabilitation;;75017;logement familial;48.888973, 2.320602
16, RUE DES JARDINS SAINT PAUL;2011;RIVP;9;9;;;;acquisition conventionnement;;75004;logement familial;48.853429, 2.360672
16, RUE DUBAN;2016;PARIS HAB;10;;;10;;construction neuve;;75016;logement familial;48.857151, 2.277753
16, RUE LAMARTINE;2007;SEMIDEP;34;;;34;;construction neuve;;75009;foyer pour jeunes travailleurs ou résidence pour jeunes;48.876597, 2.342834
161-161BIS RUE DE LA CONVENTION;2006;SIEMP;5;;;5;;acquisition réhabilitation;;75015;résidence sociale pour démuni;48.838646, 2.293545
16-18 RUE DUNOIS;2012;RIVP;16;;;;16;acquisition conventionnement;;75013;logement familial;48.830519, 2.370255
16-18, RUE GINOUX;2011;RIVP;2;2;;;;acquisition réhabilitation;;75015;logement familial;48.848169, 2.286499
164, AVENUE LEDRU ROLLIN;2014;RIVP;1;1;;;;construction neuve;;75011;logement familial;48.856603, 2.379387
165 RUE DE VAUGIRARD 13 RUE DALOU;2011;PARIS HAB;15;9;;3;3;construction neuve;;75015;logement familial;48.843505, 2.314638
168, AVENUE DAUMESNIL;2012;TOIT&JOIE;1;1;;;;acquisition conventionnement;;75012;logement familial;48.839901, 2.393743
168, BD DE LA VILLETTE;2008;SIEMP;9;4;;;5;construction neuve;;75019;logement familial;48.880649, 2.370547
17 RUE ANGELIQUE COMPOINT (DP);2001;SAGI;21;;;;21;construction neuve;;75018;logement familial;48.897472, 2.334694
17 RUE CACHEUX;2002;SAGECO;34;34;;;;acquisition conventionnement;;75013;logement familial;48.820403, 2.346136
17 RUE DE SEVIGNE;2007;IMM 3F;13;10;;3;;construction neuve;;75004;logement familial;48.856514, 2.362532
17 RUE MADEMOISELLE;2009;PARIS HAB;13;9;;;4;acquisition réhabilitation;;75015;logement familial;48.843648, 2.294865
17 RUE PIERRE DUPONT;2012;ELOGIE;35;15;;5;15;acquisition réhabilitation;;75010;logement familial;48.879633, 2.365217
17-17BIS RUE REBEVAL 5-7 RUE LOUISE LABBE;2003;SAPE;83;;;;83;acquisition conventionnement;;75019;logement familial;48.8754, 2.378223
17-19, RUE DES ORTEAUX LOT 1;2008;SIEMP;20;17;;3;;construction neuve;;75020;logement familial;48.856879, 2.400176
179, RUE BLOMET;2014;IMM 3F;16;6;;5;5;construction neuve;;75015;logement familial;48.841077, 2.30122
18 RUE CHARLES FOURIER;2009;RIVP;230;;;230;;construction neuve;projet abandonné refinancé;75013;centre d'hébergement d'urgence;48.825051, 2.351615
18 RUE LETORT;2016;SIEMP;11;4;;7;;acquisition réhabilitation;;75018;logement familial;48.894454, 2.343251
18 RUE SAINTONGE;2008;ELOGIE;6;6;;;;acquisition conventionnement;;75003;logement familial;48.861875, 2.362688
18, BD SOULT;2013;ELOGIE;1;1;;;;acquisition conventionnement;;75012;logement familial;48.837857, 2.408571
18, BD VOLTAIRE;2002;RIVP;37;23;;;14;acquisition conventionnement;;75011;logement familial;48.852619, 2.391969
18, RUE MARX DORMOY;2006;SIEMP;7;;;7;;construction neuve;;75018;logement familial;48.885854, 2.359617
18, RUE PASCAL;2014;RIVP;9;8;;1;;acquisition conventionnement;;75005;logement familial;48.838084, 2.349355
18-20 RUE DE L'EVANGILE;2011;FONCIERE;3;;;;3;construction neuve;;75018;logement familial;48.892673, 2.362811
185-187, RUE DE TOLBIAC;2012;PIER.LUM;20;;;;20;construction neuve;;75013;logement familial;48.825819, 2.351242
188 RUE LA FAYETTE;2015;AXIMO;1;1;;;;acquisition conventionnement;;75010;logement familial;48.880782, 2.363043
18BIS-22, RUE DENOYEZ;2014;SIEMP;20;10;;3;7;construction neuve;;75020;logement familial;48.872046, 2.378355
1-9 ET 2-8, CITE DE L'AVENIR;2005;RIVP;42;;;;42;construction neuve;;75011;logement familial;48.866046, 2.382958
19, RUE AFFRE (HS);2004;PARIS HAB;7;;;7;;construction neuve;;75018;logement familial;48.887078, 2.355403
19, RUE DE NANTES;2016;IMM 3F;1;1;;;;construction neuve;;75019;logement familial;48.891775, 2.382065
19, RUE PIXERECOURT;2008;SIEMP;4;4;;;;construction neuve;;75020;logement familial;48.871155, 2.395454
19-21, RUE BERBIER DU METS;2006;FONCIERE;2;;;;2;construction neuve;;75013;logement familial;48.835256, 2.350468
19-23, RUE LAMBLARDIE;2016;PARIS HAB;48;19;;18;11;acquisition conventionnement;;75012;logement familial;48.840931, 2.3984
194 RUE DES PYRENEES;2009;COALLIA;37;;;37;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75020;site de desserrement de foyer de travailleur migrant;48.863722, 2.399567
197, RUE DU FAUBOURG SAINT MARTIN;2013;PARIS HAB;30;23;;7;;acquisition réhabilitation;;75010;logement familial;48.879822, 2.363377
2 BIS RUE MONT LOUIS ET 30 RUE DE LA FOLIE REGNAULT;2001;REHABAIL;13;;;13;;acquisition réhabilitation;;75011;résidence sociale pour démuni;48.859662, 2.386563
2 BIS, RUE DE L'OURCQ LOT C2;2016;REHABAIL;15;;;15;;construction neuve;;75019;centre d'hébergement et de réinsertion sociale;48.887589, 2.384683
2 PASSAGE LOUIS PHILIPPE;2006;SIEMP;4;4;;;;acquisition réhabilitation;projet abandonné refinancé;75011;logement familial;48.853881, 2.372866
2 RUE DU VIDE GOUSSET;2008;ELOGIE;2;2;;;;acquisition conventionnement;;75002;logement familial;48.866019, 2.341571
2, CITE CHARLES GODON;2016;RIVP;13;4;;9;;construction neuve;;75009;logement familial;48.879427, 2.341151
2, RUE CRILLON;2009;PARIS HAB;34;23;;1;10;acquisition conventionnement;;75004;logement familial;48.848298, 2.365181
2, RUE DE FLORENCE;2014;RIVP;17;16;;1;;acquisition conventionnement;;75008;logement familial;48.882317, 2.325716
2, RUE EUGENE POUBELLE;2014;PARIS HAB;40;18;;10;12;acquisition conventionnement;;75016;logement familial;48.850602, 2.278168
20 RUE GODEFROY CAVAIGNAC;2008;LOG.FR.;18;14;;4;;acquisition réhabilitation;projet abandonné refinancé;75011;logement familial;48.855131, 2.381306
20, RUE DE TOURTILLE;2015;BATIGERE;30;;;;30;construction neuve;;75020;logement familial;48.87137, 2.381262
20, RUE LECLUSE;2005;PARIS HAB;40;;;40;;acquisition réhabilitation;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.884606, 2.325253
20, RUE SIMPLON;2015;PARIS HAB;19;7;;6;6;acquisition réhabilitation;;75018;logement familial;48.893772, 2.350623
20-22 RUE BEAUREGARD;2005;SIEMP;8;5;;3;;acquisition réhabilitation;;75002;logement familial;48.86922, 2.34917
20-22, RUE SORBIER;2014;SIEMP;253;;;;253;acquisition conventionnement;;75020;logement familial;48.866923, 2.391161
20-26, RUE DE CRONSTADT;2012;PARIS HAB;2;;;2;;construction neuve;;75015;logement familial;48.833992, 2.301552
