adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
70 RUE GUTENBERG;2001;SAGI;17;7;;;10;acquisition conventionnement;;75015;logement familial;48.841465, 2.278683
70, BD VINCENT AURIOL;2003;PARIS HAB;37;;;37;;acquisition réhabilitation;;75013;résidence sociale pour démuni;48.834397, 2.365724
71, RUE DE DUNKERQUE;2001;SNL-PROLOG;1;;;1;;acquisition réhabilitation;;75009;logement familial;48.881663, 2.347567
73 BD KELLERMANN;2010;ELOGIE;1;1;;;;acquisition réhabilitation;;75013;logement familial;48.820363, 2.348523
73, RUE BEAUBOURG;2014;RIVP;12;11;;1;;acquisition conventionnement;;75003;logement familial;48.863612, 2.354627
73, RUE DU POTEAU;2016;ELOGIE;7;3;;4;;construction neuve;;75018;logement familial;48.895996, 2.339162
74, RUE DES PLANTES;2008;PARIS HAB;15;8;;2;5;acquisition conventionnement;;75014;logement familial;48.825533, 2.318907
74-76 RUE DES MARAICHERS (FAM);2012;RSF;56;56;;;;construction neuve;;75020;foyer pour personnes handicapées;48.853727, 2.406488
75 RUE DE L'AMIRAL MOUCHEZ;2007;PARIS HAB;100;;;;100;construction neuve;;75013;établissement d'hébergement pour personnes âgées dépendantes;48.820793, 2.343424
75, RUE DE REUILLY;2013;PARIS HAB;34;;;34;;construction neuve;;75012;centre d'hébergement d'urgence;48.845054, 2.389334
75, RUE DE REUILLY;2013;PARIS HAB;28;28;;;;construction neuve;;75012;résidence pour personnes âgées;48.845054, 2.389334
75, RUE DOUDEAUVILLE;2014;SNL-PROLOG;4;;;4;;acquisition réhabilitation;;75018;logement familial;48.888272, 2.350176
75, RUE PIXERECOURT;2007;SIEMP;4;4;;;;acquisition réhabilitation;;75020;logement familial;48.874313, 2.395751
7-57, BOULEVARD JOURDAN (PARCELLE B);2016;RIVP;71;;;;71;construction neuve;;75014;résidence pour étudiants;48.821793, 2.331206
75-83, RUE DE LA CHAPELLE , 1 ET 2 IMPASSE DU GUE;2006;PARIS HAB;46;;;15;31;construction neuve;;75018;logement familial;48.897166, 2.358479
76, RUE DE RENNES;2006;RIVP;45;15;;;30;acquisition réhabilitation;;75006;logement familial;48.851278, 2.330648
76, RUE DE RENNES;2007;RIVP;23;11;;12;;construction neuve;;75006;logement familial;48.851278, 2.330648
76, RUE MADEMOISELLE;2015;ELOGIE;13;4;;9;;construction neuve;;75015;logement familial;48.842837, 2.301836
77-79, RUE LAUGIER ET 12, RUE GALVANI;2009;PARIS HAB;1;1;;;;acquisition conventionnement;;75017;logement familial;48.884537, 2.291712
7-7BIS ET 9-9BIS RUE PRIMATICE;2012;RIVP;12;;;;12;acquisition conventionnement;;75013;logement familial;48.833394, 2.355624
78, RUE LABAT;2015;RIVP;5;5;;;;acquisition réhabilitation;;75018;logement familial;48.888659, 2.345043
7-9, RUE PIERRE DEMOURS;2007;RIVP;12;12;;;;construction neuve;;75017;logement familial;48.880013, 2.291826
8 CITE DEBERGUE;2006;FREHA;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.845959, 2.404551
8 RUE BERZELIUS;2015;AXIMO;1;1;;;;acquisition conventionnement;;75017;logement familial;48.892388, 2.318397
8, BD BARBES;2016;SIEMP;7;3;;2;2;construction neuve;;75018;logement familial;48.884299, 2.349709
8, BD DE STRASBOURG;2005;FLS;1;;;1;;acquisition réhabilitation;;75010;logement familial;48.87013, 2.354943
8, IMPASSE DE LA GROSSE BOUTEILLE 11, IMPASSE ROBERT;2014;PARIS HAB;13;3;;7;3;acquisition réhabilitation;;75018;logement familial;48.894885, 2.339547
8, RUE DE LA CHAUSSEE D'ANTIN;2003;SIEMP;28;28;;;;acquisition réhabilitation;;75009;logement familial;48.871686, 2.333982
8, RUE DESIRE RUGGIERI;2007;SAGECO;19;13;;6;;acquisition conventionnement;;75018;logement familial;48.894445, 2.335418
8, RUE GAMBETTA;2013;ELOGIE;1;1;;;;acquisition conventionnement;;75020;logement familial;48.863109, 2.388781
8, RUE GODEFROY CAVAIGNAC;2014;SIEMP;10;6;;2;2;construction neuve;;75011;logement familial;48.854392, 2.381793
8, RUE LABAT;2013;SIEMP;9;;;;9;construction neuve;;75018;logement familial;48.890235, 2.350907
80 BD JOURDAN;2007;PARIS HAB;51;40;;11;;construction neuve;projet abandonné refinancé;75014;logement familial;48.822797, 2.328287
80 BD JOURDAN, 71-73 RUE DU PERE CORENTIN, 146 RUE DE LA TOMBE ISSOIRE;2007;LOGIS.TR.;131;72;;18;41;construction neuve;projet abandonné refinancé;75014;logement familial;48.828159, 2.332593
80 BOULEVARD DE GRENELLE;2004;SEMEA XV;7;7;;;;acquisition réhabilitation;;75015;logement familial;48.8501, 2.293919
80, BD DE SEBASTOPOL;2001;ALLIANCE;11;;;11;;acquisition réhabilitation;projet abandonné;75003;logement familial;48.865175, 2.352171
81, BOULEVARD RICHARD LENOIR;2007;RIVP;32;15;;8;9;acquisition conventionnement;;75011;logement familial;48.861273, 2.372138
81, RUE DE L'AMIRAL MOUCHEZ;2010;PARIS HAB;1;1;;;;construction neuve;;75013;logement familial;48.820654, 2.343889
8-10, AVENUE DE CHOISY (TOUR RIMINI);2011;COOP.FAM.;91;91;;;;acquisition conventionnement;;75013;logement familial;
8-10, PASSAGE CHAMPIONNET;2007;SIEMP;8;8;;;;construction neuve;;75018;logement familial;48.895594, 2.347027
8-10, RUE CHARLES V;2013;RIVP;55;28;;;27;construction neuve;;75004;résidence pour étudiants;48.853038, 2.362647
8-10, RUE RICHEMONT;2014;HSF;1;1;;;;construction neuve;;75013;foyer pour jeunes travailleurs ou résidence pour jeunes;48.827434, 2.369096
81-83, RUE DU CHEVALERET;2009;PARIS HAB;165;165;;;;construction neuve;;75013;résidence pour étudiants;48.82937, 2.37581
83 BIS-85, RUE PHILIPPE DE GIRARD;2012;SIEMP;18;18;;;;construction neuve;;75018;résidence pour étudiants;48.888509, 2.360572
84, RUE RENE BOULANGER 2, RUE BOUCHARDON;2007;SIEMP;11;6;;5;;construction neuve;;75010;logement familial;48.869366, 2.356941
86, RUE OLIVIER DE SERRES;2012;LOGIREP;81;;;;81;acquisition réhabilitation;;75015;logement familial;48.832435, 2.29361
87 RUE DES POISSONNIERS;2007;SIEMP;4;;;4;;construction neuve;;75018;logement familial;48.892071, 2.351941
87, AVENUE LEDRU ROLLIN;2016;SIEMP;3;;;3;;acquisition réhabilitation;;75012;logement familial;48.851185, 2.375813
88, RUE DIDOT - 1 A 7 VILLA MALLEBAY;2007;ELOGIE;4;;2;2;;acquisition réhabilitation;;75014;logement familial;48.828802, 2.315535
88, RUE PHILIPPE DE GIRARD;2002;SIEMP;5;;;;5;acquisition conventionnement;;75018;logement familial;48.889201, 2.36057
9 RUE DAUBIGNY 2-4 RUE BOREL 126 BD MALESHERBES;2002;SAGI;64;;;;64;acquisition réhabilitation;;75017;logement familial;48.884803, 2.30865
9 RUE DE LA GOUTTE D'OR - 10-14, RUE DE LA CHARBONNIERE;2005;PARIS HAB;12;12;;;;construction neuve;;75018;logement familial;48.884755, 2.354985
1 AVENUE DU GENERAL LAPERRINE;2009;PARIS HAB;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.833857, 2.406451
1 RUE OUDINOT 58 RUE VANEAU (TERRAIN APHP-LAENNEC);2005;ELOGIE;10;10;;;;construction neuve;;75005;logement familial;
1 RUE QUENU;2009;PARIS HAB;12;6;;3;3;acquisition réhabilitation;;75005;logement familial;48.839174, 2.349623
1 RUE SAINT MEDARD;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75005;logement familial;48.843483, 2.351184
1, RUE CHARLES TELLIER;2003;SIEMP;22;16;;6;;acquisition réhabilitation;;75016;logement familial;48.838156, 2.262865
1, RUE DES ROSIERS;2016;SNL;1;;;1;;acquisition réhabilitation;;75004;logement familial;48.856234, 2.361187
1, RUE DUSSOUBS;2007;SEMPSEINE;11;5;;6;;acquisition réhabilitation;;75002;logement familial;48.86483, 2.34833
1, RUE SAINTE ELEUTHERE;2008;FREHA;3;;;3;;acquisition réhabilitation;projet abandonné;75018;logement familial;48.886284, 2.341268
10 BIS A 14, QUAI HENRI IV;2015;RES.L.F.;7;;;;7;construction neuve;;75004;logement familial;48.848199, 2.363751
10 RUE DE MEAUX;2011;SIEMP;11;11;;;;construction neuve;;75019;logement familial;48.878602, 2.371025
10, RUE CUGNOT;2010;SABLIERE;80;44;;20;16;construction neuve;;75018;logement familial;48.891869, 2.365552
10, RUE DES LYANES;2008;SIEMP;2;;;2;;acquisition réhabilitation;;75020;logement familial;48.863238, 2.405634
10, RUE DUVERGIER;2014;ELOGIE;3;3;;;;construction neuve;;75019;logement familial;48.889378, 2.377096
10, RUE ERNESTINE - 13, RUE EMILE DUPLOYE - LOT 6;2008;PARIS HAB;19;;19;;;construction neuve;;75018;logement familial;48.88929, 2.355275
10, RUE LAGILLE;2002;ALLIANCE;24;;;24;;acquisition réhabilitation;;75018;logement familial;48.894642, 2.328793
10, RUE LECUIROT;2011;LOGIS.TR.;10;7;;3;;construction neuve;;75014;logement familial;48.829173, 2.320568
10, RUE MOUNET SULLY;2015;ELOGIE;3;;;3;;acquisition réhabilitation;;75020;logement familial;48.849206, 2.405457
101, RUE DE LA JONQUIERE;2015;RIVP;12;5;;7;;construction neuve;;75017;logement familial;48.895167, 2.316559
101-105 , BD BRUNE 2-8, ALLEE GASTON BACHELARD;2015;TOIT&JOIE;6;;;6;;acquisition réhabilitation;;75014;résidence sociale pour démuni;48.826493, 2.315171
10-12, RUE DES ARDENNES;2013;OGIF;15;;;;15;construction neuve;;75019;logement familial;48.888047, 2.386461
10-14, RUE LABROUSTE;2016;TOIT&JOIE;8;3;;5;;construction neuve;;75015;logement familial;48.835682, 2.309426
10-16, RUE CHARLES DELESCLUZE 29, RUE DE LA FORGE ROYALE;2015;RIVP;55;22;;17;16;acquisition conventionnement;;75011;logement familial;48.852437, 2.380805
104 RUE DE LA JONQUIERE 1 PASSAGE BOULAY;2002;ADOMA;4;;;4;;acquisition réhabilitation;;75017;logement familial;48.89533, 2.317566
104, BD PONIATOWSKI;2012;ELOGIE;1;1;;;;acquisition réhabilitation;;75012;logement familial;48.834934, 2.406071
104, RUE BALARD;2012;PARIS HAB;15;7;;2;6;acquisition réhabilitation;;75015;logement familial;48.837334, 2.278437
106 BD DIDEROT;2016;SIEMP;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.847082, 2.385837
106, RUE DE PATAY;2014;RIVP;21;10;;;11;acquisition réhabilitation;;75013;logement familial;48.827955, 2.371091
106, RUE JEAN PIERRE TIMBAUD;2014;PARIS HAB;33;15;;8;10;acquisition conventionnement;;75011;logement familial;48.868083, 2.379086
107, BD DE SEBASTOPOL;2014;LOGIS.TR.;17;7;;5;5;acquisition réhabilitation;;75002;logement familial;48.866633, 2.352521
107, RUE SAINT HONORE;2010;RIVP;5;3;;2;;acquisition réhabilitation;;75001;logement familial;48.86134, 2.342742
108-108BIS, AVENUE D'Italie;2014;ELOGIE;10;;;;10;construction neuve;;75013;logement familial;48.824815, 2.357629
109, RUE DE LA TOMBE ISSOIRE;2013;DOMNIS;22;6;;7;9;construction neuve;;75014;logement familial;48.82565, 2.331708
11, IMPASSE DUPUY;2006;SIEMP;1;;;1;;acquisition réhabilitation;;75018;logement familial;48.888376, 2.361769
11, PLACE DE LA PORTE DE CHAMPERRET;2012;RIVP;1;1;;;;construction neuve;;75017;logement familial;48.885756, 2.289581
11, RUE CHANEZ 20, RUE ERLANGER;2001;IMM 3F;310;211;;;99;acquisition conventionnement;;75016;logement familial;48.847169, 2.261826
11, RUE LERICHE;2016;AXIMO;1;1;;;;acquisition conventionnement;;75015;logement familial;48.835487, 2.294712
110 RUE DES POISSONNIERS;2010;F.ST.MARIE;20;;;;20;construction neuve;;75018;établissement d'hébergement pour personnes âgées dépendantes;48.894193, 2.352928
110, BD DE LA CHAPELLE;2009;SIEMP;1;;;1;;acquisition réhabilitation;;75018;logement familial;48.88405, 2.351096
111 RUE BOBILLOT;2001;IMM 3F;20;;;;20;acquisition conventionnement;;75013;logement familial;48.823531, 2.348236
111 RUE DES PYRENEES 104 RUE DES HAIES;2001;RES.URB.;52;52;;;;acquisition conventionnement;;75020;logement familial;48.855978, 2.404344
1-11, SQUARE DU THIMERAIS;2015;PARIS HAB;849;340;;255;254;acquisition conventionnement;;75017;logement familial;48.88694, 2.295813
11-13, RUE DE BELLIEVRE;2013;ANTIN;153;;;153;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75013;foyer de travailleurs migrants;48.8376, 2.3719
11-13, RUE DOMREMY;2015;HSF;74;;;;74;construction neuve;;75013;logement familial;48.830348, 2.373116
112 RUE FALGUIERE;2009;PARIS HAB;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.83822, 2.311202
115, BD JOURDAN 20, AVENUE PAUL APPELL;2014;RIVP;225;198;;27;;acquisition conventionnement;;75014;logement familial;48.821826, 2.326986
115, RUE DE MENILMONTANT;2013;RIVP;9;;;;9;acquisition conventionnement;;75020;logement familial;48.869509, 2.392884
1-15, RUE FULTON 10, RUE EDMOND FLAMAND 11-13, QUAI D'AUSTERLITZ (LOT A5 DE PRG);2011;SABLIERE;87;49;;11;27;construction neuve;;75013;logement familial;48.8387, 2.372224
