Rang;Type de document;Prêts;Titre;Auteur;Nombre de localisations;Nombre de prêt total;Nombre de prêts 2017;Nombre d'exemplaires
713.0;Livre sonore jeunesse;365;Bulle et Bob se déguisent;Tual, Nathalie;46;906;394;73
727.0;Bande dessinée pour adulte;363;L'étoile du matin;Giacometti, Eric;43;480;106;44
689.0;Bande dessinée jeunesse;371;Interdit aux monstres;Didier, Anne;38;2720;492;43
686.0;Livre pour adulte;371;Le jour d'avant : roman;Chalandon, Sorj;50;780;385;52
722.0;Livre jeunesse;364;La mémoire de Babel;Dabos, Christelle;49;510;142;56
701.0;Bande dessinée jeunesse;368;Exécrable par nature;Bertschy;43;2019;577;46
717.0;Livre jeunesse;365;Une soupe au caillou;Vaugelade, Anaïs;49;3418;448;104
721.0;Bande dessinée jeunesse;364;Fairy Tail. 50;Mashima, Hiro;45;1396;566;50
715.0;Bande dessinée jeunesse;365;Platine laser;Sfar, Joann;43;2980;476;54
708.0;Livre pour adulte;367;L'appel du néant;Chattam, Maxime;44;373;3;44
631.0;Bande dessinée jeunesse;386;My hero academia. 5. Shoto Todoroki : les origines;Horikoshi, Kohei;45;919;447;49
642.0;Bande dessinée jeunesse;382;My hero academia. 4. Celui qui avait tout;Horikoshi, Kohei;46;920;448;51
621.0;Bande dessinée jeunesse;388;Les schtroumpfs joueurs;Parthoens, Luc;30;3868;507;46
632.0;Livre pour adulte;386;Tiens ferme ta couronne;Haenel, Yannick;44;660;286;45
639.0;Bande dessinée jeunesse;383;Le monde à l'envers;Didier, Anne;38;1829;546;41
616.0;Livre pour adulte;389;La fille à histoires;Frain, Irène;38;533;134;40
626.0;Bande dessinée jeunesse;387;Loto et colles;Pica;28;3279;500;41
618.0;DVD jeunesse;388;BGG - Le Bon Gros Géant;;39;873;389;42
630.0;DVD jeunesse;386;Les aristochats;;40;1244;490;50
643.0;DVD jeunesse;382;Ballerina;;39;701;258;41
771.0;Bande dessinée jeunesse;356;Chi, une vie de chat. 10;Konami, Kanata;48;2555;517;55
807.0;Bande dessinée jeunesse;348;Louca. 2. Face à face;Dequier, Bruno;39;1597;453;51
803.0;Livre jeunesse;348;Le loup est revenu !;Pennart, Geoffroy de;47;2351;425;73
769.0;Bande dessinée jeunesse;356;Naruto. 18;Kishimoto, Masashi;46;3934;493;59
810.0;Bande dessinée pour adulte;347;Diplomatie;Nury, Fabien;41;354;0;41
797.0;Bande dessinée jeunesse;349;Mise en examen;Pica;27;2451;440;40
775.0;Bande dessinée jeunesse;355;Oups !;Midam;36;2875;542;41
575.0;Livre pour adulte;399;Homo deus : une brève histoire de l'avenir;Harari, Yuval Noah;48;574;151;55
578.0;DVD jeunesse;399;Harry Potter et le prisonnier d'Azkaban;Cuaron, Alfonso;40;3116;517;54
565.0;Livre pour adulte;402;La vie secrète des arbres;Wohlleben, Peter;46;748;321;56
544.0;Bande dessinée jeunesse;408;Un rêve pour trois;Hamon, Jérôme;43;694;244;45
547.0;Livre jeunesse;407;Nina en colère;Naumann-Villemin, Christine;49;723;253;58
607.0;Bande dessinée jeunesse;392;Naruto. 9;Kishimoto, Masashi;43;4179;551;59
581.0;Bande dessinée jeunesse;398;Gâteau-surprise;Laudec;40;4091;508;54
613.0;Livre pour adulte;391;En camping-car;Jablonka, Ivan;43;402;0;43
553.0;Livre jeunesse;406;Papa dort;Le Saux, Alain;37;2137;447;92
579.0;DVD jeunesse;399;Moi, moche et méchant;;36;3282;604;50
734.0;Bande dessinée jeunesse;362;My hero academia. 7. Katsuki Bakugo : les origines;Horikoshi, Kohei;45;783;362;49
755.0;Livre jeunesse;358;La lessive de la famille Souris;Iwamura, Kazuo;36;3766;419;52
742.0;Bande dessinée jeunesse;360;Une soeur Présidente;Dutto, Olivier;31;649;273;42
762.0;Bande dessinée jeunesse;357;Garfield perd la boule;Davis, Jim;46;1484;510;49
735.0;Bande dessinée jeunesse;362;Premiers doutes;Hamon, Jérôme;44;451;76;45
757.0;Bande dessinée jeunesse;358;Naruto. 12;Kishimoto, Masashi;45;4387;488;55
758.0;Livre jeunesse;358;Trop c'est trop;Kinney, Jeff;48;2976;480;62
731.0;Livre jeunesse;363;A ce soir !;Ashbé, Jeanne;50;1737;363;97
752.0;Livre pour adulte;358;Nuit;Minier, Bernard;47;906;461;49
760.0;DVD jeunesse;358;Les enfants loups, Ame & Yuki;;40;2547;483;49
338.0;Bande dessinée jeunesse;495;My hero academia. 1. Izuku Midoriya : les origines;Horikoshi, Kohei;46;1389;638;73
318.0;Bande dessinée jeunesse;503;Les blagues de Toto. 12. Bête de concours;Coppée, Thierry;48;2251;790;58
337.0;Bande dessinée jeunesse;496;Les Schtroumpfs et l'amour sorcier;Jost, Alain;45;3281;700;55
329.0;Livre pour adulte;498;Ma mère avait raison : roman;Jardin, Alexandre;40;519;16;40
317.0;Bande dessinée jeunesse;506;Les terres basses;Vehlmann, Fabien;53;4512;797;76
333.0;Livre pour adulte;496;Et moi, je vis toujours;Ormesson, Jean d';49;512;0;55
328.0;Livre pour adulte;498;Tout homme est une nuit;Salvayre, Lydie;51;657;154;55
310.0;Bande dessinée jeunesse;511;On a marché sur la lune;Hergé;54;6434;679;90
319.0;Livre pour adulte;503;La tresse;Colombani, Laetitia;50;1090;559;57
300.0;Livre pour adulte;517;L'enfant perdue;Ferrante, Elena;51;538;0;86
419.0;Livre jeunesse;456;Petit-Bleu et Petit-Jaune : une histoire pour Pippo, Ann et tous les enfants;Lionni, Leo;53;3397;508;130
408.0;Livre jeunesse;461;Ca fait suer ! : guide de survie en milieu hostile;Kinney, Jeff;50;3501;572;68
399.0;Livre pour adulte;464;Chanson de la ville silencieuse : roman;Adam, Olivier;52;472;0;54
411.0;Bande dessinée jeunesse;460;Vivement les vacances !;Godi, Bernard;34;3589;522;45
410.0;Bande dessinée jeunesse;460;Tueurs à gags;Coppée, Thierry;40;4000;617;56
407.0;Bande dessinée pour adulte;461;La magicienne;Lupano, Wilfrid;50;476;3;50
405.0;Bande dessinée jeunesse;461;L'étoile mystérieuse;Hergé;51;6207;674;86
422.0;Livre pour adulte;454;Bakhita;Olmi, Véronique;53;789;307;59
404.0;Bande dessinée jeunesse;461;Système D;Zidrou;43;1477;655;49
429.0;Livre pour adulte;450;Origine;Brown, Dan;47;589;119;51
243.0;Bande dessinée jeunesse;567;La rose écarlate. 12. Tu m'as ouvert les yeux;Lyfoung, Patricia;51;1632;885;67
218.0;Bande dessinée jeunesse;593;Mon coup d'soleil, c'est toi !;Cazenove, Christophe;40;2989;762;57
222.0;Bande dessinée jeunesse;589;Les petits rats de l'Opéra;Guibert, Emmanuel;48;2514;734;70
203.0;Bande dessinée jeunesse;610;Elle a tellement changé;Lyfoung, Patricia;52;641;22;67
220.0;Livre pour adulte;590;La disparition de Josef Mengele;Guez, Olivier;50;946;385;56
208.0;Livre jeunesse;601;Lili est désordre;Saint-Mars, Dominique de;40;5257;715;66
217.0;Bande dessinée jeunesse;594;Sale temps pour les moches;Delaf;47;4653;817;77
200.0;Bande dessinée jeunesse;612;Le coq sportif;Guibert, Emmanuel;51;1387;671;69
235.0;Bande dessinée jeunesse;575;Ça va dégominer !;Didier, Anne;45;3388;766;55
209.0;Bande dessinée jeunesse;601;Tout ça finira mal;Tan;45;3111;742;67
122.0;Bande dessinée jeunesse;705;Les Légendaires. 19. World without : Artémus le Légendaire;Sobral, Patrick;51;1696;838;77
115.0;Livre jeunesse;719;La maison de Max et Lili a été cambriolée;Saint-Mars, Dominique de;38;5699;923;78
100.0;Livre jeunesse;733;Emilie n'aime pas quand sa mère boit trop;Saint-Mars, Dominique de;43;6763;907;84
99.0;Livre jeunesse;736;Lili a la passion du cheval;Saint-Mars, Dominique de;43;6857;881;85
102.0;Livre jeunesse;733;Max est fou de jeux vidéo;Saint-Mars, Dominique de;45;5998;946;86
106.0;Livre jeunesse;730;Max ne veut pas se laver;Saint-Mars, Dominique de;39;5675;956;82
97.0;Bande dessinée jeunesse;739;La fête à la grenouille;Guibert, Emmanuel;53;2663;1004;76
488.0;Livre pour adulte;428;Jusqu'à l'impensable;Connelly, Michael;50;977;469;51
501.0;Livre pour adulte;424;Temps glaciaires;Vargas, Fred;48;2544;581;58
477.0;Bande dessinée jeunesse;432;Alien Chantilly;Midam;41;4847;639;56
486.0;Livre jeunesse;429;Saute;Matsuoka, Tatsuhide;49;1987;537;86
549.0;Livre pour adulte;407;Le miracle Spinoza : une philosophie pour éclairer notre vie;Lenoir, Frédéric;42;419;0;43
560.0;Bande dessinée jeunesse;404;Rentrée musclée;Abouet, Marguerite;47;2347;527;59
543.0;Bande dessinée jeunesse;408;Cancre intergalactique;Bertschy;46;988;506;49
546.0;Bande dessinée jeunesse;408;Big bisous baveux;Mr Tan;46;436;12;65
555.0;Bande dessinée jeunesse;405;Boing ! Boing ! Bunk !;Midam;45;4389;587;66
569.0;Livre jeunesse;401;Papa conduit;Le Saux, Alain;38;1977;468;89
577.0;Bande dessinée jeunesse;399;No problemo;;44;2856;568;48
675.0;Livre jeunesse;374;Harry Potter et la chambre des secrets;Rowling, Joanne Kathleen;46;1787;413;67
667.0;Bande dessinée jeunesse;376;Marion Duval. 22. La reine éternelle;Bouchié, Pascale;50;3745;571;55
698.0;Bande dessinée jeunesse;369;Un peu... beaucoup... passionnément !;Tessier, Grégory;36;937;509;40
700.0;Bande dessinée jeunesse;369;Chi, une vie de chat. 11;Konami, Kanata;48;2209;569;56
682.0;Livre jeunesse;372;Mais... c'est pas juste !;Blake, Stéphanie;45;617;199;55
663.0;Livre pour adulte;376;Tension extrême : roman;Forge, Sylvain;42;374;3;44
696.0;Bande dessinée jeunesse;370;Si seulement...;Dequier, Bruno;38;1676;450;51
718.0;Bande dessinée jeunesse;365;Fairy Tail. 4;Mashima, Hiro;43;3343;504;52
702.0;Livre pour adulte;368;Fendre l'armure;Gavalda, Anna;51;917;502;55
692.0;DVD jeunesse;370;Tout en haut du monde;;43;1209;475;49
733.0;Enregistrement musical pour la jeunesse;363;Mon imagier des comptines de la maternelle;Davois, Bernard;43;2447;438;72
726.0;Bande dessinée jeunesse;364;Au château de Crotte de Maille;Fraipont, Céline;45;2742;527;51
729.0;Bande dessinée jeunesse;363;La cousine Manga;Guibert, Emmanuel;39;2659;457;46
737.0;Bande dessinée jeunesse;362;En quête d'amour;Tessier, Grégory;35;2032;423;42
739.0;Bande dessinée jeunesse;361;Madame Minuscule;Fraipont, Céline;40;606;208;45
748.0;Bande dessinée jeunesse;359;Le lézard de l'ombre;Derib;43;3574;474;51
750.0;Bande dessinée jeunesse;359;Mini cataclysme;Bertschy;46;3184;554;48
743.0;Livre jeunesse;360;Papa est content;Le Saux, Alain;38;1886;421;82
747.0;Livre jeunesse;359;Le pot de Tom;Lindgren, Barbro;49;3340;479;120
746.0;DVD jeunesse;359;Le chant de la mer;;46;1804;495;51
662.0;Bande dessinée jeunesse;376;Cédric. 30. Silence, je tourne !;Cauvin, Raoul;48;1374;552;52
619.0;Livre pour adulte;388;Souvenirs de la marée basse;Thomas, Chantal;45;802;394;47
659.0;Bande dessinée jeunesse;379;Chi, une vie de chat. 4;Konami, K.;47;3472;541;54
600.0;Bande dessinée jeunesse;394;Chi, une vie de chat. 2;Konami, K.;49;3543;593;56
588.0;Bande dessinée jeunesse;397;Mixture magique;Abouet, Marguerite;46;2012;445;58
586.0;Bande dessinée jeunesse;397;Le livre d'Hector;Chamblain, Joris;50;2047;481;56
658.0;Livre pour adulte;380;Vernon Subutex. 1;Despentes, Virginie;41;2148;531;51
660.0;Bande dessinée jeunesse;378;Fairy Tail. 55;Mashima, Hiro;46;917;478;52
596.0;Bande dessinée jeunesse;395;Classe touriste;Pica;25;3392;471;40
655.0;Bande dessinée jeunesse;380;Carnage total;Midam;39;4081;568;53
785.0;Bande dessinée jeunesse;351;Attention tornade;Cazenove, Christophe;46;363;0;58
793.0;Livre pour adulte;350;Le mystère Henri Pick;Foenkinos, David;51;1580;419;55
786.0;Livre pour adulte;351;Classé sans suite : roman;Magris, Claudio;38;362;5;38
776.0;Bande dessinée jeunesse;355;Définitivement nuisible;Bertschy;43;2494;513;48
787.0;Livre pour adulte;351;Une vie sans fin;Beigbeder, Frédéric;44;360;0;48
756.0;Livre jeunesse;358;La chèvre biscornue;Kiffer, Christine;49;2994;400;83
798.0;DVD jeunesse;349;Le voyage de Chihiro;Miyazaki, Hayao;33;2543;432;48
795.0;Bande dessinée jeunesse;350;Chat geek;Davis, Jim;46;2350;526;52
754.0;Livre pour adulte;358;La salle de bal;Hope, Anna;51;671;270;51
784.0;Livre jeunesse;352;Ma voiture;Barton, Byron;46;2122;377;89
823.0;Bande dessinée jeunesse;344;Mission relooking;Tessier, Greg;35;1638;478;43
805.0;Bande dessinée jeunesse;348;Amour glacé;Fraipont, Céline;45;2945;455;50
812.0;Bande dessinée jeunesse;347;Naruto. 17;Kishimoto, Masashi;43;3322;447;56
801.0;Bande dessinée jeunesse;349;Naruto. 29;Kishimoto, Masashi;43;3456;500;56
813.0;DVD jeunesse;346;Le voyage d'Arlo;;34;1245;450;41
70.0;Bande dessinée jeunesse;779;A l'attaque !;Cohen, Jacqueline;43;7293;1094;95
64.0;Bande dessinée jeunesse;786;Mortebouse;Neel, Julien;50;6750;1097;99
536.0;Bande dessinée pour adulte;410;Gérard : cinq années dans les pattes de Depardieu;Sapin, Mathieu;45;944;436;48
528.0;Bande dessinée jeunesse;413;Premier de la classe (en commençant par la fin);Godi, Bernard;35;3146;509;46
519.0;Bande dessinée pour adulte;420;Une jeunesse au Moyen-Orient, 1978-1984;Sattouf, Riad;52;3225;741;65
524.0;Bande dessinée jeunesse;415;La déesse sans visage;Chamblain, Joris;50;1450;570;58
520.0;Bande dessinée jeunesse;418;La grande Schtroumpfette;Jost, Alain;37;3847;556;50
538.0;Bande dessinée jeunesse;410;Naruto. 2;Kishimoto, Masashi;47;4206;572;68
516.0;Bande dessinée jeunesse;421;C'est parti !;Didier, Anne;33;2332;607;46
529.0;DVD jeunesse;413;L'âge de glace 4;;37;3190;545;53
592.0;Bande dessinée pour adulte;396;Culottées : des femmes qui ne font que ce qu'elles veulent. 2;Bagieu, Pénélope;53;1069;570;54
595.0;Livre pour adulte;395;Sexe et mensonges : la vie sexuelle au Maroc;Slimani, Leïla;42;672;271;44
614.0;Bande dessinée jeunesse;391;L'hôpital des docteurs Toc-Toc;Fraipont, Céline;41;2745;491;51
603.0;Livre jeunesse;392;Le gâteau perché tout là-haut;Strasser, Susanne;51;1699;530;78
599.0;Bande dessinée pour adulte;394;L'homme au sang bleu;Moynot, Emmanuel;42;427;27;42
615.0;Livre pour adulte;389;Sur les chemins noirs;Tesson, Sylvain;49;1469;856;53
612.0;Bande dessinée jeunesse;391;Fairy Tail. 56;Mashima, Hiro;45;822;371;49
606.0;Bande dessinée jeunesse;392;La zizanie;Goscinny, René;35;3065;463;54
583.0;Livre jeunesse;397;La chasse à l'ours;Rosen, Michael;51;3189;542;125
587.0;Livre jeunesse;397;Un coeur à prendre;Kinney, Jeff;48;1827;434;56
649.0;Bande dessinée jeunesse;381;Sardine de l'espace. 10. La reine de l'Afripe;Guibert, Emmanuel;46;3891;561;59
634.0;Livre jeunesse;386;Lili ne veut plus aller à la piscine;Saint-Mars, Dominique de;26;2330;456;36
637.0;Bande dessinée jeunesse;384;My hero academia. 9. My hero;Horikoshi, Kohei;45;492;92;47
627.0;Livre jeunesse;387;Scritch scratch dip clapote !;Crowther, Kitty;51;3930;464;115
657.0;Bande dessinée jeunesse;380;Merci, les monstres !;Didier, Anne;38;2304;519;41
622.0;Livre jeunesse;388;A la sieste tout le monde;Kasano, Yuichi;51;2873;428;85
653.0;Bande dessinée jeunesse;380;Superfrèreman;Dutto, Olivier;34;886;443;45
661.0;Bande dessinée jeunesse;378;Fairy Tail. 59;Mashima, Hiro;46;407;24;50
648.0;Livre jeunesse;381;Papa se rase;Le Saux, Alain;39;2229;438;92
640.0;Livre jeunesse;383;Ma maison;Barton, Byron;48;945;452;72
564.0;Bande dessinée jeunesse;403;Le dernier des cinq trésors;Chamblain, Joris;49;1970;524;56
559.0;Livre sonore jeunesse;404;Coco et le poisson Ploc;Du Bouchet, Paule;37;2283;501;74
566.0;Livre pour adulte;402;Psychothérapie de Dieu;Cyrulnik, Boris;43;569;141;46
562.0;DVD jeunesse;403;Kiki la petite sorcière;Miyazaki, Hayao;29;3746;525;49
545.0;Bande dessinée jeunesse;408;Naruto. 4;Kishimoto, Masashi;45;3867;545;59
572.0;Bande dessinée jeunesse;400;Fairy Tail. 1;Mashima, Hiro;43;3542;538;53
576.0;Bande dessinée jeunesse;399;Naruto. 6;Kishimito, Masashi;42;4045;563;61
541.0;Livre jeunesse;409;Rodrick fait sa loi;Kinney, Jeff;49;3310;550;69
556.0;Bande dessinée jeunesse;405;Waterminator;Midam;40;4225;541;54
563.0;Livre jeunesse;403;Paris;Ledu, Stéphanie;40;3522;396;56
822.0;Bande dessinée jeunesse;345;Game over. 9. Bomba fatale;Midam;31;1827;473;36
808.0;Bande dessinée jeunesse;347;Tout le monde te regarde !;Tome;47;1395;504;53
824.0;Livre jeunesse;344;Max a triché;Saint-Mars, Dominique de;24;3238;440;38
817.0;Bande dessinée jeunesse;345;Naruto. 66;Kishimoto, Masashi;50;1863;556;62
821.0;Bande dessinée jeunesse;345;Le remonte-kiki;Sfar, Joann;38;2873;428;46
816.0;Bande dessinée jeunesse;346;Record battu !;Didier, Anne;26;1747;456;34
819.0;Bande dessinée pour adulte;345;Celui qui part;Lupano;51;1539;437;52
802.0;Bande dessinée jeunesse;349;Frère adoré chéri de mon coeur !;Dutto, Olivier;33;2191;494;43
777.0;Bande dessinée jeunesse;354;Boule & Bill. 36. Flair de cocker;Verron, Laurent;46;1621;580;55
